2025年11月25日更新
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
千葉県 154kV 1,新野田12-14B,275,154,3,685,524,熱容量,592,0,可,161,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 154kV 2,新京葉,275,154,3,991,680,熱容量,684,0,可,311,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 154kV 3,房総,275,154,4,970,743,熱容量,0,0,可,0,有り,対象,送47，変12,抑制が必要となる設備には送46含む　上位系（変12）による制約
千葉県 154kV 4,東葛,154,66,4,659,564,熱容量,570,0,可,95,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 154kV 5,下総,154,66,4,752,677,熱容量,684,0,可,75,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 154kV 6,東千葉,154,66,4,754,678,熱容量,429,0,可,76,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む　上位系（送千葉154kV9）による制約
千葉県 154kV 7,外房,154,66,3,563,449,熱容量,0,0,可,75,有り,-,送47，変12，変千葉154kV3，送千葉154kV11,抑制が必要となる設備には送46含む　上位系（送千葉154kV11）による制約
千葉県 154kV 8,新木更津,275,154,2,854,513,熱容量,0,0,可,0,有り,対象,送47，変11,抑制が必要となる設備には送46含む　上位系（変11）による制約
千葉県 154kV 9,新野田15-17B,275,154,3,846,675,熱容量,563,0,可,171,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 154kV 10,千葉ＮＴ,154,66,3,570,513,熱容量,570,0,可,57,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 1,東葛,154,66,4,659,564,熱容量,570,570,可,95,-,-,-,抑制が必要となる設備には送46含む
千葉県 66kV 2,新京葉,275,66,4,1124,1010,熱容量,266,0,可,114,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 3,北総,275,66,3,847,677,熱容量,500,0,可,170,有り,-,送47，送36,抑制が必要となる設備には送46含む　上位系（送36）による制約
千葉県 66kV 4,花見川,275,66,4,932,786,熱容量,228,0,可,146,有り,-,送47，送143,抑制が必要となる設備には送46含む　上位系（送143）による制約
千葉県 66kV 5,下総,154,66,4,753,677,熱容量,684,0,可,76,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 6,葛南,275,66,2,569,342,熱容量,342,0,可,227,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 7,東千葉,154,66,4,754,678,熱容量,429,0,可,76,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む　上位系（送千葉154kV9）による制約
千葉県 66kV 8,千葉中央,275,66,2,567,342,熱容量,69,0,可,225,有り,-,送47，送36，送33,上位系（送33）による制約
