2025年11月25日更新
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
群馬県 154kV 1,新新田,275,154,2,854,512,熱容量,206,206,可,342,-,-,-,
群馬県 154kV 2,新岡部,500,154,3,2138,1682,熱容量,0,0,可,0,有り,対象,変8,上位系（変8）による制約
群馬県 154kV 3,小松,154,66,2,150,68,熱容量,0,0,可,6,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,抑制が必要となる設備には送群馬66kV31含む　上位系（送群馬154kV5）による制約
群馬県 154kV 4,金井,154,66,2,285,114,熱容量,0,0,可,0,有り,-,変8，変群馬154kV2，送群馬154kV9,抑制必要設備には送群馬154kV5、送群馬66kV31含む　上位系（送群馬154kV9）による制約
群馬県 154kV 5,群馬,154,66,4,754,678,熱容量,190,0,可,76,有り,-,変8，変群馬154kV2,上位系（送群馬154kV2）による制約
群馬県 154kV 6,東太田,154,66,3,568,453,熱容量,149,149,可,115,-,-,-,
群馬県 154kV 7,佐波,154,66,3,567,452,熱容量,0,0,可,73,有り,-,変8，変群馬154kV2,上位系（変群馬154kV2）による制約
群馬県 66kV 1,東太田,154,66,3,568,453,熱容量,149,149,可,115,-,-,-,
群馬県 66kV 2,東毛,275,66,4,803,698,熱容量,608,608,可,105,-,-,-,
群馬県 66kV 3,佐波,154,66,3,567,452,熱容量,0,0,可,73,有り,-,変8，変群馬154kV2,上位系（変群馬154kV7）による制約
群馬県 66kV 4,群馬,154,66,4,754,678,熱容量,190,0,可,76,有り,-,変8，変群馬154kV2,上位系（送群馬154kV2）による制約
群馬県 66kV 5,西毛,275,66,4,934,778,熱容量,0,0,可,127,有り,対象,-,
群馬県 66kV 6,小松,154,66,2,152,68,熱容量,0,0,可,8,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,抑制が必要となる設備には送群馬66kV31含む　上位系（変群馬154kV3）による制約
群馬県 66kV 7,金井,154,66,2,285,114,熱容量,0,0,可,0,有り,-,変8，変群馬154kV2，送群馬154kV9,抑制必要設備には送群馬154kV5、送群馬66kV31含む　上位系（変群馬154kV4）による制約
群馬県 22kV 1,上里見,66,22,2,28,19,熱容量,0,0,不可 ♯２,-,有り,-,変8，変群馬154kV2，送群馬66kV47,上位系（送群馬66kV47）による制約
群馬県 22kV 3,高崎,66,22,1,42,42,熱容量,42,0,不可 ♯２,-,有り,-,変群馬66kV5,上位系（変群馬66kV5）による制約
群馬県 配電用変電所 1,片品,154,6.6以下,1,19,19,熱容量,1,0,不可,-,有り,-,変8，変群馬154kV2，送群馬154kV3,上位系（送群馬154kV7）による制約
群馬県 配電用変電所 2,須田貝,154,6.6以下,1,9,9,熱容量,7,0,不可,-,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,上位系（送群馬154kV5）による制約
群馬県 配電用変電所 3,幡谷,154,6.6以下,2,19,19,熱容量,0,0,不可,-,有り,-,変8，変群馬154kV2，送群馬154kV3,上位系（送群馬154kV7）による制約
群馬県 配電用変電所 4,久屋原,66,6.6以下,2,28,29,熱容量,0,0,不可,-,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,上位系（送群馬66kV32）による制約
群馬県 配電用変電所 5,水上,154,6.6以下,1,2,2,熱容量,2,0,不可,-,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,上位系（送群馬154kV5）による制約
群馬県 配電用変電所 6,鹿野沢,66,6.6以下,2,28,29,熱容量,6,0,不可,-,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,上位系（変群馬66kV6）による制約
群馬県 配電用変電所 7,薄根,66,6.6以下,2,28,29,熱容量,5,0,不可,-,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,上位系（送群馬66kV33）による制約
群馬県 配電用変電所 8,小松,154,6.6以下,1,9,9,熱容量,0,0,不可,-,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,上位系（変群馬66kV6）による制約
群馬県 配電用変電所 9,湯宿,154,6.6以下,2,28,29,熱容量,0,0,不可,-,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,上位系（送群馬154kV5）による制約
群馬県 配電用変電所 10,岩室,66,6.6以下,1,19,19,熱容量,7,0,不可,-,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,上位系（送群馬66kV32）による制約
群馬県 配電用変電所 11,森下,66,6.6以下,2,19,19,熱容量,2,0,不可,-,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬66kV31,上位系（送群馬66kV31）による制約
群馬県 配電用変電所 12,沼田,66,6.6以下,3,47,49,熱容量,5,0,不可,-,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,上位系（送群馬66kV33）による制約
群馬県 配電用変電所 13,中之条,66,6.6以下,2,38,39,熱容量,0,0,不可,-,有り,-,変8，変群馬154kV2，送群馬154kV9,上位系（送群馬66kV36）による制約
群馬県 配電用変電所 14,原町,66,6.6以下,2,28,29,熱容量,0,0,不可,-,有り,-,変8，変群馬154kV2，送群馬154kV9,上位系（送群馬66kV36）による制約
群馬県 配電用変電所 15,草津,66,6.6以下,3,38,39,熱容量,1,0,不可,-,有り,-,変8，変群馬154kV2，送群馬66kV47,上位系（送群馬66kV48）による制約
群馬県 配電用変電所 16,長野原,66,6.6以下,2,19,19,熱容量,0,0,不可,-,有り,-,変8，変群馬154kV2，送群馬66kV47,上位系（送群馬66kV48）による制約
群馬県 配電用変電所 17,北軽,66,6.6以下,2,38,39,熱容量,0,0,不可,-,有り,-,送埼玉154kV18,上位系（変長野（一部）66kV1）による制約
群馬県 配電用変電所 18,嬬恋,66,6.6以下,2,38,39,熱容量,4,0,不可,-,有り,-,送埼玉154kV18,上位系（送長野（一部）66kV1）による制約
群馬県 配電用変電所 19,鹿沢,66,6.6以下,1,9,9,熱容量,0,0,不可,-,有り,-,送埼玉154kV18,上位系（送長野（一部）66kV1）による制約
群馬県 配電用変電所 20,神戸,66,6.6以下,2,19,19,熱容量,0,0,不可,-,有り,-,変8，変群馬154kV2,上位系（送群馬66kV22）による制約
群馬県 配電用変電所 21,浅原,66,6.6以下,2,38,39,熱容量,2,0,不可,-,有り,-,変8，変群馬154kV2,上位系（送群馬66kV20）による制約
群馬県 配電用変電所 22,桐生,66,6.6以下,3,47,49,熱容量,2,2,不可,-,-,-,-,
