2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
群馬県 154kV 1,東太田線,154,2,1974,1131,熱容量,824,206,可,843,-,-,-,
群馬県 154kV 2,群馬幹線（群馬～新岡部）,154,2,1506,870,熱容量,0,0,可,251,有り,-,変8，変群馬154kV2,上位系（送群馬154kV11）による制約
群馬県 154kV 3,上越幹線,154,2,294,165,熱容量,0,0,可,0,有り,対象,変8，変群馬154kV2,上位系（変群馬154kV2）による制約
群馬県 154kV 4,上牧線,154,1,-,-,-,81,0,-,-,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,◇　抑制が必要となる設備には送群馬66kV31含む　上位系（送群馬154kV5）による制約
群馬県 154kV 5,水上線（金井～小松）,154,2,328,183,熱容量,0,0,可,0,有り,対象,変8，変群馬154kV2，送群馬154kV9,抑制が必要となる設備には送群馬66kV31含む　上位系（送群馬154kV9）による制約
群馬県 154kV 6,水上線（小松分岐～水上）,154,2,294,165,熱容量,68,0,可,129,有り,-,変8，変群馬154kV2，送群馬154kV9，送群馬154kV5,抑制が必要となる設備には送群馬66kV31含む　上位系（送群馬154kV5）による制約
群馬県 154kV 7,上毛幹線,154,2,226,126,熱容量,0,0,可,45,有り,-,変8，変群馬154kV2，送群馬154kV3,上位系（送群馬154kV3）による制約
群馬県 154kV 8,箱島線,154,1,-,-,-,86,0,-,-,有り,-,変8，変群馬154kV2，送群馬154kV3,◇　上位系（送群馬154kV3）による制約
群馬県 154kV 9,群馬幹線（金井～群馬）,154,2,672,383,熱容量,0,0,可,0,有り,対象,変8，変群馬154kV2,上位系（送群馬154kV2）による制約
群馬県 154kV 10,黒部幹線,154,2,294,165,熱容量,14,0,可,129,有り,-,送埼玉154kV18,上位系（送埼玉154kV18）による制約
