2025年11月25日更新
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
茨城県 154kV 1,那珂,275,154,4,1701,1530,熱容量,0,0,可,0,有り,対象,変2，送11,抑制が必要となる設備には変4含む　上位系（送11）による制約
茨城県 154kV 2,新筑波,500,154,4,2825,2538,熱容量,279,0,可,287,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変4）による制約
茨城県 154kV 3,鹿島,275,154,2,852,513,熱容量,411,0,可,339,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
茨城県 154kV 4,水戸北部,154,66,2,186,186,熱容量,130,0,不可 ♯２,-,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV7）による制約
茨城県 154kV 5,茨城,154,66,4,537,429,熱容量,0,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV8）による制約
茨城県 154kV 6,西水戸,154,66,3,563,450,熱容量,42,0,可,113,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV2）による制約
茨城県 154kV 7,石岡,154,66,4,563,537,熱容量,0,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV2）による制約
茨城県 154kV 8,霞ヶ浦,154,66,4,557,444,熱容量,0,0,可,0,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変4）による制約
茨城県 66kV 1,常磐,275,66,2,569,342,熱容量,0,0,可,0,有り,対象,変2，送11,抑制が必要となる設備には変4含む　上位系（送11）による制約
茨城県 66kV 2,常総,275,66,5,1227,1131,熱容量,678,0,可,96,有り,-,送52，送50，送45,上位系（送45）による制約
