2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
茨城県 154kV 1,西茨線,154,2,-,-,-,231,0,-,-,有り,-,変2，送11，変茨城154kV1,◇　抑制が必要となる設備には変4含む　上位系（変茨城154kV1）による制約
茨城県 154kV 2,西水戸線,154,2,1974,1131,熱容量,0,0,可,767,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城154kV1）による制約
茨城県 154kV 3,戸崎線,154,2,986,565,熱容量,163,0,可,734,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城154kV1）による制約
茨城県 154kV 4,筑南線,154,2,1506,870,熱容量,124,0,可,286,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変4）による制約
茨城県 154kV 5,八千代線,154,2,1974,1131,熱容量,424,0,可,721,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変4）による制約
茨城県 154kV 6,野木線,154,2,1974,1131,熱容量,467,0,可,727,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変4）による制約
茨城県 154kV 7,水戸北部線・小野線,154,2,258,148,熱容量,0,0,可,25,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV8）による制約
茨城県 154kV 8,茨城線,154,2,228,131,熱容量,0,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城154kV1）による制約
茨城県 154kV 9,村松線,154,2,308,172,熱容量,193,0,可,224,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV8）による制約
茨城県 154kV 10,石岡線,154,2,1974,1131,熱容量,1582,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城154kV2）による制約
茨城県 154kV 11,新治線,154,2,1078,591,熱容量,113,0,可,100,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む　上位系（変4）による制約
茨城県 154kV 12,湖西線,154,2,474,269,熱容量,237,0,可,224,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
茨城県 154kV 13,送電線,154,2,-,-,-,181,0,-,-,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
茨城県 66kV 1,北茨城線,66,2,158,89,熱容量,21,0,可,58,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 2,勿来線,66,2,66,66,熱容量,33,0,可,0,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 3,磯原線,66,2,106,69,熱容量,44,0,可,37,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 4,臼場線,66,2,106,69,熱容量,53,0,可,37,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 5,手綱線,66,2,102,57,熱容量,16,0,可,45,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 6,松久保線,66,2,102,67,熱容量,51,0,可,35,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 7,高萩線,66,2,102,57,熱容量,0,0,可,35,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 8,常磐線,66,2,444,254,熱容量,196,0,可,190,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 9,常北線,66,2,444,254,熱容量,216,0,可,190,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 10,小木津線,66,2,138,92,熱容量,63,0,可,46,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 11,送電線,66,2,-,-,-,69,0,-,-,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 12,送電線,66,2,66,37,熱容量,33,0,可,29,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 13,白銀線,66,2,150,85,熱容量,72,0,可,65,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 14,助川線,66,2,132,74,熱容量,66,0,可,13,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 15,北多賀線,66,2,294,167,熱容量,147,0,可,127,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 16,鮎川線,66,2,102,67,熱容量,51,0,可,35,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
