2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
基幹 500kV 1,川内線,500,2,13164,6582,熱容量,3200,3200,不可 ♯１,-,-,-,-,
基幹 500kV 2,南いわき幹線,500,2,8886,4936,熱容量,2100,2100,不可 ♯１,-,-,-,-,フェンス管理
基幹 500kV 3,富岡線,500,2,8280,4693,熱容量,4600,0,可,1400,有り,-,送52,上位系（送52）による制約
基幹 500kV 4,福島幹線,500,2,5574,3291,熱容量,800,0,可,1400,有り,-,送52,上位系（送52）による制約
基幹 500kV 5,福島東幹線,500,2,5574,3291,熱容量,2000,0,可,1400,有り,-,送52,上位系（送52）による制約
基幹 500kV 6,新いわき線,500,2,13164,6582,熱容量,4800,4800,不可 ♯１,-,-,-,-,
基幹 500kV 7,福島幹線,500,2,5574,3291,熱容量,1700,0,可,1400,有り,-,送52,上位系（送52）による制約
基幹 500kV 8,福島東幹線,500,2,5574,3291,熱容量,1800,0,可,1395,有り,-,送52,上位系（送52）による制約
基幹 500kV 9,送電線,500,2,-,-,-,1700,1700,-,-,-,-,-,◇
基幹 500kV 10,新茂木線,500,2,11874,6582,熱容量,3500,0,可,1400,有り,-,送52,上位系（送52）による制約
基幹 275kV 11,那珂線,275,2,6530,3620,熱容量,0,0,可,0,有り,対象,変2,フェンス管理　上位系（変2）による制約
基幹 275kV 12,阿武隈線,275,2,3692,2115,熱容量,500,0,可,1400,有り,-,変2，送11,◇　抑制が必要となる設備には変4含む　上位系（送11）による制約
基幹 275kV 13,十王線,275,2,2276,1291,熱容量,800,0,可,985,有り,-,変2，送11,抑制が必要となる設備には変4含む　上位系（送11）による制約
基幹 275kV 14,送電線,275,2,-,-,-,1200,0,-,-,有り,-,変2，送11,◇　抑制が必要となる設備には変4含む　上位系（送11）による制約
基幹 275kV 15,送電線,275,2,-,-,-,1600,0,-,-,有り,-,変2，送11,◇　抑制が必要となる設備には変4含む　上位系（送11）による制約
基幹 500kV 16,福島幹線,500,2,5574,3291,熱容量,1800,0,可,1400,有り,-,送52,上位系（送52）による制約
基幹 500kV 17,中栃木線,500,2,13164,6582,熱容量,4000,4000,不可 ♯１,-,-,-,-,
基幹 500kV 18,新栃木線,500,2,13164,6582,熱容量,1900,1900,不可 ♯１,-,-,-,-,フェンス管理
基幹 500kV 19,下郷線,500,1,-,-,-,1200,1200,-,-,-,-,-,◇
基幹 500kV 20,今市線,500,1,-,-,-,500,500,-,-,-,-,-,◇
基幹 500kV 21,塩原線,500,1,-,-,-,1100,1100,-,-,-,-,-,◇
基幹 275kV 22,沼原線,275,2,1400,909,熱容量,300,0,可,496,有り,-,変3,上位系（変3）による制約
基幹 500kV 23,送電線,500,2,-,-,-,0,0,-,-,有り,-,送47，送25,◇　抑制が必要となる設備には送46含む　上位系（送25）による制約
基幹 500kV 24,新袖ヶ浦線,500,2,9944,4936,熱容量,2600,0,不可 ♯１,-,有り,-,送47,◇　抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 500kV 25,新袖ヶ浦線,500,2,9872,4936,熱容量,0,0,不可 ♯１,-,有り,対象,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 26,君津線,275,2,3066,1729,熱容量,0,0,不可 ♯１,-,有り,対象,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 27,姉崎線1・2L,275,2,1533,1533,熱容量,0,0,可,0,有り,対象,送47,◇　抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 28,姉崎線3・4L,275,2,656,656,熱容量,600,0,可,0,有り,-,送47,◇　抑制が必要となる設備には送46含む　上位系（送47）による制約
