2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
長野県（一部） 154kV 1,小田切線,154,1,-,-,-,96,0,-,-,有り,-,送埼玉154kV18,◇　上位系（送長野（一部）154kV3）による制約
長野県（一部） 154kV 2,笹平線,154,2,226,126,熱容量,94,0,可,100,有り,-,送埼玉154kV18,上位系（送長野（一部）154kV3）による制約
長野県（一部） 154kV 3,笹平線,154,2,226,126,熱容量,0,0,可,0,有り,-,送埼玉154kV18,上位系（送長野（一部）154kV5）による制約
長野県（一部） 154kV 5,黒部幹線,154,2,294,165,熱容量,0,0,可,96,有り,-,送埼玉154kV18,上位系（送埼玉154kV19）による制約
長野県（一部） 154kV 6,犀川線,154,1,-,-,-,0,0,-,-,有り,-,-,上位系（送長野（一部）154kV7）による制約
長野県（一部） 154kV 7,犀川線,154,1,-,-,-,0,0,-,-,有り,-,-,上位系（送長野（一部）154kV8）による制約
長野県（一部） 154kV 8,犀川線,154,1,-,-,-,0,0,-,-,有り,-,-,上位系（送長野（一部）154kV15）による制約
長野県（一部） 154kV 9,中の沢線,154,1,-,-,-,0,0,-,-,有り,-,-,上位系（送長野（一部）154kV15）による制約
長野県（一部） 154kV 10,大町線,154,2,258,145,熱容量,63,0,可,113,有り,-,-,上位系（送長野（一部）154kV15）による制約
長野県（一部） 154kV 11,大町線,154,2,258,145,熱容量,57,0,可,113,有り,-,-,上位系（送長野（一部）154kV15）による制約
長野県（一部） 154kV 12,甲信幹線山線,154,2,258,145,熱容量,79,0,可,113,有り,-,-,上位系（送長野（一部）154kV15）による制約
長野県（一部） 154kV 13,霞沢線,154,2,258,145,熱容量,98,0,可,113,有り,-,-,上位系（送長野（一部）154kV15）による制約
長野県（一部） 154kV 15,甲信幹線中線,154,2,328,183,熱容量,0,0,可,93,有り,-,-,
長野県（一部） 66kV 1,上信線,66,2,100,56,熱容量,0,0,可,25,有り,-,送埼玉154kV18,上位系（変長野（一部）66kV1）による制約
長野県（一部） 66kV 2,北軽線,66,1,32,32,熱容量,3,0,不可 ♯２,-,有り,-,送埼玉154kV18,上位系（変長野（一部）66kV1）による制約
長野県（一部） 66kV 3,塩川線,66,1,-,-,-,42,0,-,-,有り,-,送埼玉154kV18,◇　上位系（変長野（一部）66kV1）による制約
長野県（一部） 66kV 4,小諸線,66,2,-,-,-,30,0,-,-,有り,-,送埼玉154kV18,◇　上位系（変長野（一部）66kV1）による制約
長野県（一部） 66kV 5,軽磯線,66,1,58,29,熱容量,0,0,不可 ♯２,-,有り,-,送埼玉154kV18,上位系（変長野（一部）66kV1）による制約
長野県（一部） 66kV 6,北佐久線,66,1,47,47,熱容量,30,0,不可 ♯２,-,有り,-,送埼玉154kV18,上位系（変長野（一部）66kV1）による制約
長野県（一部） 66kV 7,南佐久線,66,1,47,47,熱容量,0,0,不可 ♯２,-,有り,-,送埼玉154kV18,上位系（変長野（一部）66kV1）による制約
長野県（一部） 66kV 8,海瀬線,66,2,-,-,-,42,0,-,-,有り,-,送埼玉154kV18,◇　上位系（送長野（一部）66kV7）による制約
長野県（一部） 66kV 9,穂積線,66,2,-,-,-,39,0,-,-,有り,-,送埼玉154kV18,◇　上位系（送長野（一部）66kV7）による制約
長野県（一部） 66kV 10,東信線,66,1,47,47,熱容量,0,0,不可 ♯２,-,有り,-,送埼玉154kV18,上位系（送長野（一部）66kV7）による制約
