2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
埼玉県 154kV 1,上越幹線,154,2,260,145,熱容量,0,0,可,23,有り,-,変8，変埼玉154kV1,上位系（変埼玉154kV1）による制約
埼玉県 154kV 2,佐波線,154,2,1974,1131,熱容量,475,0,可,843,有り,-,変8，変埼玉154kV1,上位系（変埼玉154kV1）による制約
埼玉県 154kV 3,北埼玉線,154,2,1974,1131,熱容量,924,0,可,843,有り,-,変8，変埼玉154kV1,上位系（変埼玉154kV1）による制約
埼玉県 154kV 4,下児玉線,154,2,1506,870,熱容量,0,0,可,251,有り,-,変8，変埼玉154kV1,上位系（変埼玉154kV1）による制約
埼玉県 154kV 5,群馬幹線,154,2,294,165,熱容量,0,0,可,91,有り,-,変8，変埼玉154kV1,上位系（送埼玉154kV4）による制約
埼玉県 154kV 6,群馬幹線,154,2,260,145,熱容量,130,130,可,115,-,-,-,
埼玉県 154kV 7,小北線,154,2,226,126,熱容量,109,0,可,100,有り,-,送52,上位系（送52）による制約
埼玉県 154kV 8,北鳩線1・2L,154,2,986,565,熱容量,493,0,可,421,有り,-,送52,上位系（送52）による制約
埼玉県 154kV 9,猪苗代新幹線,154,2,306,204,熱容量,140,0,可,102,有り,-,送52,上位系（送52）による制約
埼玉県 154kV 10,白岡線,154,2,1974,1131,熱容量,987,0,可,843,有り,-,送52,上位系（送52）による制約
埼玉県 154kV 11,美園線,154,2,514,290,熱容量,257,0,可,224,有り,-,送52,上位系（送52）による制約
埼玉県 154kV 12,東埼玉線,154,2,372,208,熱容量,186,0,可,164,有り,-,送52,上位系（送52）による制約
埼玉県 154kV 13,京北線,154,2,294,165,熱容量,147,147,可,129,-,-,-,
埼玉県 154kV 14,志木線,154,2,1506,870,熱容量,753,753,可,636,-,-,-,
埼玉県 154kV 15,狭山線,154,2,828,453,熱容量,413,413,可,375,-,-,-,
埼玉県 154kV 16,旭ヶ丘線,154,2,986,565,熱容量,493,288,可,421,-,-,-,
埼玉県 154kV 17,武蔵赤坂線,154,2,514,290,熱容量,257,257,可,224,-,-,-,
埼玉県 154kV 18,奥秩父線,154,2,294,165,熱容量,0,0,可,0,有り,対象,-,
埼玉県 154kV 19,黒部幹線,154,2,294,165,熱容量,0,0,可,73,有り,-,送埼玉154kV18,上位系（送埼玉154kV18）による制約
埼玉県 154kV 20,野田線,154,2,987,585,熱容量,585,0,可,402,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
埼玉県 154kV 21,潮止線1・2L,154,2,514,290,熱容量,257,0,可,224,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
埼玉県 154kV 22,亀戸線,154,2,328,183,熱容量,164,0,可,145,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
埼玉県 154kV 23,花畑線,154,2,1506,870,熱容量,753,0,可,636,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
埼玉県 154kV 24,小松川線,154,2,706,473,熱容量,353,0,可,233,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
埼玉県 154kV 25,東八潮線,154,2,1506,870,熱容量,753,0,可,636,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
埼玉県 154kV 26,南葛線,154,2,828,453,熱容量,414,0,可,375,有り,-,送52,上位系（送52）による制約
埼玉県 154kV 27,北千代田線,154,2,514,290,熱容量,253,0,可,224,有り,-,送52,上位系（送52）による制約
埼玉県 154kV 28,田端線,154,2,514,290,熱容量,253,0,可,224,有り,-,送52,上位系（送52）による制約
埼玉県 154kV 29,笹目線,154,2,1974,1131,熱容量,987,987,可,843,-,-,-,
埼玉県 154kV 30,戸田線,154,2,1054,577,熱容量,527,527,可,477,-,-,-,
埼玉県 154kV 32,片山線,154,2,1506,1506,熱容量,1499,1499,可,0,-,-,-,
