2025年11月25日更新
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
静岡県（富士川以東） 154kV 1,新富士,500,154,2,2137,1710,熱容量,210,210,可,427,-,-,-,
静岡県（富士川以東） 154kV 2,湯船,154,66,2,190,114,熱容量,73,73,可,76,-,-,-,
静岡県（富士川以東） 154kV 3,北駿,154,66,1,190,190,熱容量,93,93,不可 ♯２,-,-,-,-,
静岡県（富士川以東） 154kV 4,駿東,154,66,4,669,585,熱容量,627,0,可,84,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 154kV 5,田方,154,66,3,566,453,熱容量,60,0,可,113,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 154kV 6,駿河,154,66,4,539,433,熱容量,386,0,可,106,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 154kV 7,岳南,154,66,3,566,456,熱容量,294,0,可,110,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 1,湯船,154,66,2,190,114,熱容量,73,73,可,76,-,-,-,
静岡県（富士川以東） 66kV 2,北駿,154,66,1,190,190,熱容量,93,93,不可 ♯２,-,-,-,-,
静岡県（富士川以東） 66kV 3,駿東,154,66,4,669,585,熱容量,627,0,可,84,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 4,田方,154,66,3,566,451,熱容量,60,0,可,115,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 5,駿河,154,66,4,539,433,熱容量,386,0,可,106,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 6,岳南,154,66,3,566,456,熱容量,294,0,可,110,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 配電用変電所 1,菅沼,66,6.6以下,2,19,19,熱容量,8,8,不可,-,-,-,-,
静岡県（富士川以東） 配電用変電所 2,北郷,66,6.6以下,3,38,39,熱容量,9,9,不可,-,-,-,-,
静岡県（富士川以東） 配電用変電所 3,須走,154,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 配電用変電所 4,御殿場,66,6.6以下,3,47,49,熱容量,14,14,不可,-,-,-,-,
静岡県（富士川以東） 配電用変電所 5,南御殿場,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
静岡県（富士川以東） 配電用変電所 6,深良,66,6.6以下,1,9,9,熱容量,4,4,不可,-,-,-,-,
