2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
東京都（多摩地区） 154kV 1,中富線,154,2,1360,770,熱容量,680,257,可,590,-,-,-,
東京都（多摩地区） 154kV 2,豊昭線,154,2,1972,1130,熱容量,986,512,可,842,-,-,-,
東京都（多摩地区） 154kV 3,桜ヶ丘線,154,2,986,565,熱容量,493,493,可,421,-,-,-,
東京都（多摩地区） 154kV 4,南多摩線,154,2,514,290,熱容量,24,12,可,224,-,-,-,
東京都（多摩地区） 66kV 1,練馬線,66,2,182,103,熱容量,91,91,可,79,-,-,-,
東京都（多摩地区） 66kV 2,飯能今井線,66,2,372,212,熱容量,186,119,可,160,-,-,-,
東京都（多摩地区） 66kV 3,上ノ原線,66,2,372,212,熱容量,119,119,可,160,-,-,-,
東京都（多摩地区） 66kV 4,新町線,66,2,336,219,熱容量,148,148,可,117,-,-,-,
東京都（多摩地区） 66kV 5,昭島線,66,2,116,71,熱容量,58,58,可,45,-,-,-,
東京都（多摩地区） 66kV 6,秋留線,66,2,132,74,熱容量,65,65,可,58,-,-,-,
東京都（多摩地区） 66kV 7,大久野線,66,2,94,54,熱容量,46,46,可,40,-,-,-,
東京都（多摩地区） 66kV 8,犬目線,66,2,132,74,熱容量,63,63,可,58,-,-,-,
東京都（多摩地区） 66kV 9,秋留線,66,2,122,72,熱容量,28,28,可,50,-,-,-,
東京都（多摩地区） 66kV 10,奥多摩線,66,1,46,46,熱容量,0,0,不可 ♯２,-,有り,-,-,
東京都（多摩地区） 66kV 11,送電線,66,1,32,32,熱容量,18,18,不可 ♯２,-,-,-,-,
東京都（多摩地区） 66kV 12,花総線,66,2,372,212,熱容量,186,0,可,160,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 13,奥戸線,66,2,378,207,熱容量,189,0,可,171,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 14,隅田線,66,2,168,94,熱容量,64,0,可,74,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 15,花葛線,66,2,184,104,熱容量,92,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 16,青井線,66,2,168,94,熱容量,83,0,可,74,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 17,東亀有線,66,2,244,133,熱容量,122,0,可,111,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 18,北千住線,66,2,242,133,熱容量,121,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 19,足立線,66,2,166,93,熱容量,83,0,可,73,有り,-,送52,上位系（送52）による制約
東京都（多摩地区） 66kV 20,東尾久線,66,2,294,162,熱容量,147,0,可,0,有り,-,送52,上位系（送52）による制約
東京都（多摩地区） 66kV 21,領家線,66,2,168,94,熱容量,84,0,可,74,有り,-,送52,上位系（送52）による制約
東京都（多摩地区） 66kV 22,鹿浜線1，2号,66,2,230,130,熱容量,115,0,可,100,有り,-,送52,上位系（送52）による制約
東京都（多摩地区） 66kV 23,野方線,66,2,260,142,熱容量,130,130,可,118,-,-,-,
東京都（多摩地区） 66kV 24,武練線,66,2,332,232,熱容量,166,166,可,100,-,-,-,
東京都（多摩地区） 66kV 25,朝霞線,66,2,350,226,熱容量,175,175,可,124,-,-,-,
東京都（多摩地区） 66kV 26,吉武線,66,2,444,254,熱容量,222,222,可,190,-,-,-,
東京都（多摩地区） 66kV 27,久留米線,66,2,372,203,熱容量,186,186,可,169,-,-,-,
東京都（多摩地区） 66kV 28,所沢線,66,2,294,167,熱容量,142,0,可,127,有り,-,送117,上位系（送98）による制約
東京都（多摩地区） 66kV 29,小平線1，2号,66,2,184,104,熱容量,92,0,可,80,有り,-,送117,上位系（送98）による制約
東京都（多摩地区） 66kV 30,国分寺線,66,2,184,104,熱容量,92,0,可,80,有り,-,送117,上位系（送98）による制約
東京都（多摩地区） 66kV 31,国分寺南線,66,2,132,74,熱容量,66,0,可,58,有り,-,送117,上位系（送98）による制約
東京都（多摩地区） 66kV 32,村山線,66,2,154,93,熱容量,77,77,可,61,-,-,-,
東京都（多摩地区） 66kV 33,昭柴線・多摩橋線,66,2,168,92,熱容量,84,84,可,76,-,-,-,
東京都（多摩地区） 66kV 34,一之江線,66,2,220,129,熱容量,110,0,可,91,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 35,篠崎線,66,2,220,129,熱容量,109,0,可,91,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 36,長島線,66,2,122,68,熱容量,61,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 37,葛西橋線,66,2,96,58,熱容量,48,0,可,38,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 38,船堀橋線,66,2,90,55,熱容量,45,0,可,35,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 39,駒沢線,66,2,166,93,熱容量,83,0,可,73,有り,-,送144，送92,上位系（送92）による制約
東京都（多摩地区） 66kV 40,都南線,66,2,370,203,熱容量,185,0,可,0,有り,-,送144，送92,上位系（送92）による制約
東京都（多摩地区） 66kV 41,高井戸線,66,2,434,287,熱容量,217,217,可,147,-,-,-,
東京都（多摩地区） 66kV 42,府中線,66,2,132,74,熱容量,66,66,可,58,-,-,-,
東京都（多摩地区） 66kV 43,西平山線・高幡線,66,2,184,104,熱容量,92,92,可,80,-,-,-,
東京都（多摩地区） 66kV 44,八王子線,66,2,184,104,熱容量,90,90,可,80,-,-,-,
