2025年11月25日更新
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
栃木県 154kV 1,那須野,154,66,4,760,684,熱容量,0,0,可,0,有り,-,変3，送栃木154kV4,上位系（送栃木154kV4）による制約
栃木県 154kV 2,新栃木,275,154,2,712,342,熱容量,0,0,可,270,有り,-,変3,運用容量は500/154kVバンクとの合算　上位系（変3）による制約
栃木県 154kV 2,新栃木,500,154,4,2850,2565,熱容量,0,0,可,285,有り,-,変3,運用容量は275/154kVバンクとの合算　上位系（変3）による制約
栃木県 154kV 3,河内,154,66,4,655,562,熱容量,0,0,可,0,有り,-,変3,上位系（送栃木154kV8）による制約
栃木県 154kV 4,西宇都宮,154,66,3,563,447,熱容量,0,0,可,51,有り,-,変3,上位系（変栃木154kV2）による制約
栃木県 154kV 5,芳賀,154,66,3,561,450,熱容量,138,0,可,111,有り,-,変3,上位系（変栃木154kV2）による制約
栃木県 154kV 6,小山,154,66,5,894,844,熱容量,318,0,可,50,有り,-,送52，変4,上位系（送栃木154kV12）による制約
栃木県 154kV 7,佐野,154,66,3,566,452,熱容量,17,0,可,114,有り,-,送52，変4,上位系（変4）による制約
栃木県 154kV 8,野木,154,66,2,378,228,熱容量,222,0,可,150,有り,-,送52，変4,上位系（変4）による制約
栃木県 154kV 9,鬼怒川,154,66,1,95,95,熱容量,60,0,不可 ♯２,-,有り,-,変3，送栃木154kV4,　　上位系（送栃木154kV4）による制約
栃木県 66kV 1,那須野,154,66,4,548,438,熱容量,0,0,可,0,有り,-,変3，送栃木154kV4,上位系（変栃木154kV1）による制約
栃木県 66kV 2,鬼怒川,154,66,1,95,95,熱容量,60,0,不可 ♯２,-,有り,-,変3，送栃木154kV4,上位系（送栃木154kV4）による制約
栃木県 66kV 3,河内,154,66,4,655,562,熱容量,0,0,可,0,有り,-,変3,　　上位系（変栃木154kV3）による制約
栃木県 66kV 4,西宇都宮,154,66,3,563,447,熱容量,0,0,可,0,有り,-,変3,増強予定　上位系（変栃木154kV4）による制約
栃木県 66kV 5,芳賀,154,66,3,561,450,熱容量,138,0,可,111,有り,-,変3,上位系（変栃木154kV2）による制約
栃木県 66kV 6,小山,154,66,5,894,844,熱容量,318,0,可,50,有り,-,送52，変4,上位系（送栃木154kV12）による制約
栃木県 66kV 7,佐野,154,66,3,566,452,熱容量,17,0,可,114,有り,-,送52，変4,上位系（変4）による制約
栃木県 66kV 8,野木,154,66,2,378,228,熱容量,222,0,可,150,有り,-,送52，変4,上位系（変4）による制約
栃木県 22kV 1,箒川変電所,66,22,2,23,14,熱容量,9,0,不可 ♯２,-,有り,-,変3，送栃木154kV4,上位系（送栃木66kV6）による制約
栃木県 22kV 2,葛生変電所,66,22,1,17,17,熱容量,8,0,不可 ♯２,-,有り,-,送52，変4,上位系（送栃木66kV61）による制約
栃木県 22kV 3,塩原第１,22,-,1,-,-,-,9,0,-,-,有り,-,変3，送栃木154kV4,6kV供給変圧器のため対象外　上位系（送栃木66kV6）による制約
栃木県 22kV 4,塩原第２,22,-,1,-,-,-,9,0,-,-,有り,-,変3，送栃木154kV4,6kV供給変圧器のため対象外　上位系（送栃木66kV6）による制約
栃木県 22kV 5,塩原第３,22,-,1,-,-,-,4,0,-,-,有り,-,変3，送栃木154kV4,6kV供給変圧器のため対象外　上位系（送栃木66kV6）による制約
栃木県 配電用変電所 1,那須湯本,66,6.6以下,3,38,39,熱容量,0,0,不可,-,有り,-,変3，送栃木154kV4,上位系（送栃木66kV1）による制約
栃木県 配電用変電所 2,豊原,154,6.6以下,3,57,59,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木154kV1）による制約
栃木県 配電用変電所 3,関谷,66,6.6以下,2,57,58,熱容量,0,0,不可,-,有り,-,変3，送栃木154kV4,上位系（送栃木66kV6）による制約
栃木県 配電用変電所 4,川治,66,6.6以下,2,19,19,熱容量,5,0,不可,-,有り,-,変3，送栃木154kV4,上位系（送栃木154kV4）による制約
栃木県 配電用変電所 5,稲沢,66,6.6以下,3,34,35,熱容量,0,0,不可,-,有り,-,変3，送栃木154kV4,上位系（送栃木66kV3）による制約
栃木県 配電用変電所 6,黒磯,66,6.6以下,3,47,49,熱容量,0,0,不可,-,有り,-,変3，送栃木154kV4,上位系（送栃木66kV1）による制約
栃木県 配電用変電所 7,那須野,66,6.6以下,2,38,39,熱容量,0,0,不可,-,有り,-,変3，送栃木154kV4,上位系（送栃木66kV2）による制約
栃木県 配電用変電所 8,西富山,66,6.6以下,3,57,59,熱容量,3,0,不可,-,有り,-,変3，送栃木154kV4,上位系（送栃木66kV5）による制約
栃木県 配電用変電所 9,栗山,66,6.6以下,1,9,9,熱容量,8,0,不可,-,有り,-,変3,上位系（送栃木66kV17）による制約
栃木県 配電用変電所 10,川俣,66,6.6以下,1,2,2,熱容量,2,0,不可,-,有り,-,変3,上位系（送栃木66kV17）による制約
栃木県 配電用変電所 11,大田原,66,6.6以下,3,52,54,熱容量,8,0,不可,-,有り,-,変3，送栃木154kV4,上位系（送栃木66kV2）による制約
栃木県 配電用変電所 12,石上,66,6.6以下,3,57,59,熱容量,0,0,不可,-,有り,-,変3，送栃木154kV4,上位系（送栃木66kV5）による制約
栃木県 配電用変電所 13,矢板,66,6.6以下,3,38,39,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木66kV18）による制約
栃木県 配電用変電所 14,湯津上,66,6.6以下,2,28,29,熱容量,0,0,不可,-,有り,-,変3，送栃木154kV4,上位系（送栃木66kV2）による制約
栃木県 配電用変電所 15,玉生,66,6.6以下,3,28,29,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木66kV11）による制約
栃木県 配電用変電所 16,鬼怒川,66,6.6以下,3,42,44,熱容量,9,0,不可,-,有り,-,変3，送栃木154kV4,上位系（送栃木154kV4）による制約
栃木県 配電用変電所 17,所野,66,6.6以下,3,19,19,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木66kV16）による制約
栃木県 配電用変電所 18,匠町,66,6.6以下,2,38,39,熱容量,13,0,不可,-,有り,-,変3,上位系（送栃木66kV16）による制約
栃木県 配電用変電所 19,中禅寺,66,6.6以下,2,19,19,熱容量,8,0,不可,-,有り,-,変3,上位系（送栃木66kV16）による制約
栃木県 配電用変電所 20,馬頭,66,6.6以下,2,28,29,熱容量,0,0,不可,-,有り,-,変3，送栃木154kV4,上位系（送栃木66kV3）による制約
栃木県 配電用変電所 21,上川井,66,6.6以下,3,57,59,熱容量,0,0,不可,-,有り,-,変3，送栃木154kV4,上位系（送栃木66kV3）による制約
栃木県 配電用変電所 22,喜連川,66,6.6以下,2,38,39,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木66kV21）による制約
栃木県 配電用変電所 23,今市,66,6.6以下,3,57,59,熱容量,7,0,不可,-,有り,-,変3,上位系（送栃木66kV13）による制約
栃木県 配電用変電所 24,氏家,66,6.6以下,3,47,49,熱容量,3,0,不可,-,有り,-,変3,上位系（送栃木66kV20）による制約
栃木県 配電用変電所 25,小室,66,6.6以下,2,19,19,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木66kV18）による制約
栃木県 配電用変電所 26,大沢,66,6.6以下,3,57,59,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木66kV13）による制約
栃木県 配電用変電所 27,上殿,66,6.6以下,3,47,49,熱容量,7,0,不可,-,有り,-,変3,上位系（送栃木66kV33）による制約
栃木県 配電用変電所 28,通洞,66,6.6以下,1,6,6,熱容量,2,0,不可,-,有り,-,変3,上位系（送栃木66kV16）による制約
栃木県 配電用変電所 29,烏山,66,6.6以下,3,47,49,熱容量,0,0,不可,-,有り,-,変3，送栃木154kV4,上位系（送栃木66kV5）による制約
栃木県 配電用変電所 30,徳次郎,154,6.6以下,1,19,19,熱容量,0,0,不可,-,有り,-,変3,上位系（変栃木154kV2）による制約
栃木県 配電用変電所 31,宝積寺,154,6.6以下,3,47,49,熱容量,0,0,不可,-,有り,-,変3，送栃木154kV2,上位系（送栃木154kV2）による制約
栃木県 配電用変電所 32,河内,66,6.6以下,3,47,49,熱容量,0,0,不可,-,有り,-,変3,上位系（変栃木66kV3）による制約
栃木県 配電用変電所 33,岩曽,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,変3,上位系（変栃木66kV3）による制約
栃木県 配電用変電所 34,宝木,66,6.6以下,3,57,59,熱容量,11,0,不可,-,有り,-,変3,上位系（送栃木66kV73）による制約
栃木県 配電用変電所 35,鹿沼,66,6.6以下,3,47,49,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木66kV76）による制約
栃木県 配電用変電所 36,茂木,154,6.6以下,3,57,59,熱容量,11,0,不可,-,有り,-,送52，変4,上位系（変4）による制約
栃木県 配電用変電所 37,市塙,66,6.6以下,2,38,39,熱容量,0,0,不可,-,有り,-,変3,上位系（変栃木154kV2）による制約
栃木県 配電用変電所 38,下高根沢,66,6.6以下,2,38,39,熱容量,5,0,不可,-,有り,-,変3,上位系（変栃木66kV3）による制約
栃木県 配電用変電所 39,清原,154,6.6以下,2,38,39,熱容量,6,0,不可,-,有り,-,変3,上位系（変栃木154kV2）による制約
栃木県 配電用変電所 40,平出,66,6.6以下,3,47,49,熱容量,14,0,不可,-,有り,-,変3,上位系（変栃木66kV3）による制約
栃木県 配電用変電所 41,戸祭,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,変3,上位系（送栃木66kV73）による制約
栃木県 配電用変電所 42,三の沢,66,6.6以下,2,38,39,熱容量,14,0,不可,-,有り,-,変3,上位系（送栃木66kV75）による制約
栃木県 配電用変電所 43,粟野,66,6.6以下,3,47,49,熱容量,0,0,不可,-,有り,-,変3,上位系（送栃木66kV35）による制約
栃木県 配電用変電所 44,平石,66,6.6以下,2,38,39,熱容量,16,0,不可,-,有り,-,変3,上位系（変栃木66kV3）による制約
栃木県 配電用変電所 45,宿郷,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,変3,上位系（変栃木66kV3）による制約
栃木県 配電用変電所 46,宇都宮,66,6.6以下,3,47,49,熱容量,9,0,不可,-,有り,-,変3,上位系（送栃木66kV73）による制約
栃木県 配電用変電所 47,馬場通,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,変3,上位系（送栃木66kV74）による制約
栃木県 配電用変電所 48,簗瀬町,154,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,変3,上位系（変栃木154kV2）による制約
栃木県 配電用変電所 49,松ヶ峰,66,6.6以下,3,42,44,熱容量,14,0,不可,-,有り,-,変3,上位系（送栃木66kV74）による制約
栃木県 配電用変電所 50,鶴田,66,6.6以下,3,42,44,熱容量,3,0,不可,-,有り,-,変3,上位系（送栃木66kV75）による制約
栃木県 配電用変電所 51,深津,66,6.6以下,3,52,54,熱容量,3,0,不可,-,有り,-,変3,上位系（送栃木66kV32）による制約
栃木県 配電用変電所 52,下栗,66,6.6以下,3,47,49,熱容量,8,0,不可,-,有り,-,変3,上位系（変栃木66kV3）による制約
