2025年11月25日更新
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
東京都（23区） 154kV 1,戸田,154,66,3,564,456,熱容量,456,456,可,108,-,-,-,
東京都（23区） 154kV 2,花畑,154,66,4,691,627,熱容量,627,0,可,64,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 3,常盤台,154,66,3,567,456,熱容量,456,0,可,111,有り,-,送52,上位系（送52）による制約
東京都（23区） 154kV 4,江戸川,154,66,2,285,171,熱容量,171,0,可,114,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 5,田端,154,22,3,139,103,熱容量,51,0,可,36,有り,-,送52,上位系（送52）による制約
東京都（23区） 154kV 5,田端,154,66,3,507,399,熱容量,399,0,可,108,有り,-,送52,上位系（送52）による制約
東京都（23区） 154kV 6,豊島,275,154,3,847,684,熱容量,342,0,可,163,有り,-,送52,上位系（送52）による制約
東京都（23区） 154kV 7,真砂町,154,22,2,112,68,熱容量,68,0,可,44,有り,-,送52,上位系（送52）による制約
東京都（23区） 154kV 8,亀戸,154,22,3,127,51,熱容量,97,0,可,76,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 9,角筈,154,66,3,424,342,熱容量,342,0,可,82,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 10,常盤橋,154,22,3,128,103,熱容量,102,0,可,25,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 10,常盤橋,154,66,3,426,342,熱容量,342,0,可,84,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 11,小松川,154,66,3,557,456,熱容量,456,0,可,101,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 12,和田堀,154,66,3,565,456,熱容量,456,257,可,109,-,-,-,
東京都（23区） 154kV 13,八重洲,154,22,3,128,103,熱容量,46,0,可,25,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 13,八重洲,154,66,3,423,342,熱容量,342,0,可,81,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 14,北新橋,154,66,3,425,342,熱容量,342,0,可,83,有り,-,送47，送139,抑制が必要となる設備には送46含む　上位系（送139）による制約
東京都（23区） 154kV 14,北新橋,154,22,3,168,137,熱容量,136,0,可,31,有り,-,送47，送139,抑制が必要となる設備には送46含む　上位系（送139）による制約
東京都（23区） 154kV 15,城南,275,154,3,853,684,熱容量,143,0,可,169,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 16,千歳,154,66,4,752,706,熱容量,684,493,可,46,-,-,-,
東京都（23区） 154kV 17,江東,275,154,3,1128,855,熱容量,342,0,可,273,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 18,北渋谷,154,66,3,428,342,熱容量,342,0,可,86,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 19,南新橋,154,66,3,425,342,熱容量,342,0,可,83,有り,-,送47，送139,抑制が必要となる設備には送46含む　上位系（送139）による制約
東京都（23区） 154kV 19,南新橋,154,22,3,126,103,熱容量,102,0,可,23,有り,-,送47，送139,抑制が必要となる設備には送46含む　上位系（送139）による制約
東京都（23区） 154kV 20,戸越,154,66,3,282,228,熱容量,228,0,可,54,有り,-,送144，送92,上位系（送92）による制約
東京都（23区） 154kV 21,南大田,154,66,3,450,342,熱容量,341,0,可,108,有り,-,変18，送105,上位系（送105）による制約
東京都（23区） 154kV 21,南大田,154,22,2,85,51,熱容量,42,0,可,34,有り,-,変18，送105,上位系（送105）による制約
東京都（23区） 154kV 22,上野,275,66,2,568,342,熱容量,342,0,可,226,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 23,墨東,275,66,3,833,684,熱容量,684,0,可,149,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 24,東新宿,275,66,2,569,342,熱容量,342,342,可,227,-,-,-,
東京都（23区） 154kV 25,水道橋,275,66,3,834,684,熱容量,684,0,可,150,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 26,新宿,275,66,3,569,456,熱容量,228,228,可,113,-,-,-,
東京都（23区） 154kV 27,東内幸町,275,66,3,851,684,熱容量,342,0,可,167,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 28,世田谷,275,66,3,854,684,熱容量,342,0,可,170,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 29,高輪,275,66,3,850,684,熱容量,342,0,可,166,有り,-,送52，送126,上位系（送126）による制約
東京都（23区） 154kV 30,永代橋,275,66,2,853,684,熱容量,342,0,可,169,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（23区） 154kV 31,大井ふ頭,275,154,3,853,684,熱容量,570,0,可,169,有り,-,送47，送139,抑制が必要となる設備には送46含む　上位系（送139）による制約
