2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
山梨県 154kV 1,都留線,154,2,328,183,熱容量,54,54,可,145,-,-,-,
山梨県 154kV 2,御坂線,154,2,1692,966,熱容量,347,347,可,876,-,-,-,
山梨県 154kV 3,禾生線,154,2,514,290,熱容量,161,54,可,224,-,-,-,
山梨県 154kV 4,山梨線,154,2,1506,870,熱容量,0,0,可,0,有り,-,-,
山梨県 154kV 5,甲信幹線中線,154,2,328,183,熱容量,0,0,可,21,有り,-,-,
山梨県 154kV 6,上曽根線,154,2,422,238,熱容量,147,0,可,64,有り,-,-,上位系（送山梨154kV4）による制約
山梨県 154kV 7,天竜東幹線,154,2,328,183,熱容量,45,0,可,102,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 154kV 8,釜無川線,154,2,986,565,熱容量,463,0,可,421,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 154kV 9,天竜東幹線,154,2,328,183,熱容量,164,0,可,0,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 154kV 10,西山線,154,1,105,105,熱容量,32,0,不可 ♯２,-,有り,-,変17,上位系（送山梨154kV12）による制約
山梨県 154kV 11,送電線,154,2,-,-,-,71,0,-,-,有り,-,変17,上位系（送山梨154kV12）による制約
山梨県 154kV 12,田代幹線,154,2,294,165,熱容量,0,0,可,98,有り,-,変17,上位系（変17）による制約
山梨県 154kV 14,藤野木線,154,2,422,238,熱容量,210,210,可,0,-,-,-,
山梨県 66kV 1,谷村線,66,2,138,92,熱容量,30,30,可,0,-,-,-,
山梨県 66kV 2,山中線,66,2,102,57,熱容量,51,51,可,45,-,-,-,
山梨県 66kV 3,駒橋線,66,2,122,68,熱容量,15,15,可,54,-,-,-,
山梨県 66kV 4,河口湖線,66,2,102,57,熱容量,51,51,可,45,-,-,-,
山梨県 66kV 5,笛駒線,66,2,102,57,熱容量,8,0,可,16,有り,-,送山梨66kV8,上位系（送山梨66kV8）による制約
山梨県 66kV 6,日下部線,66,2,294,167,熱容量,99,0,可,99,有り,-,送山梨66kV8,上位系（送山梨66kV8）による制約
山梨県 66kV 8,玉諸線,66,2,134,90,熱容量,0,0,可,0,有り,対象,-,
山梨県 66kV 9,市川大門線,66,2,102,57,熱容量,172,170,可,160,-,-,-,
山梨県 66kV 10,飯田町線,66,2,372,212,熱容量,182,170,可,160,-,-,-,
山梨県 66kV 11,敷島線,66,2,294,167,熱容量,84,84,可,106,-,-,-,
山梨県 66kV 12,釜無団地線,66,2,102,57,熱容量,51,0,可,45,有り,-,-,上位系（送山梨154kV4）による制約
山梨県 66kV 13,明穂線,66,2,372,212,熱容量,154,0,可,160,有り,-,-,上位系（送山梨154kV4）による制約
山梨県 66kV 14,増穂線,66,2,102,57,熱容量,50,0,可,45,有り,-,-,上位系（送山梨154kV4）による制約
山梨県 66kV 15,清里線,66,2,102,57,熱容量,33,0,可,15,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 66kV 16,白州線,66,1,53,53,熱容量,2,0,不可 ♯２,-,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 66kV 17,鳩川線,66,2,102,57,熱容量,19,0,可,22,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 66kV 18,雨畑線,66,1,-,-,-,41,0,-,-,有り,-,変17,◇　上位系（送山梨66kV19）による制約
山梨県 66kV 19,榑坪線,66,2,94,53,熱容量,0,0,可,0,有り,-,変17,除却予定。近日中に削除　　上位系（変17）による制約
山梨県 66kV 20,甲府南部工団線,66,2,132,74,熱容量,56,56,可,58,-,-,-,
山梨県 66kV 21,甲西線,66,2,372,212,熱容量,57,0,可,58,有り,-,-,上位系（送山梨154kV4）による制約
山梨県 66kV 22,三郡線,66,2,372,212,熱容量,174,0,可,160,有り,-,-,上位系（送山梨154kV4）による制約
山梨県 66kV 23,飯富線,66,2,102,57,熱容量,47,0,可,45,有り,-,変17,上位系（送山梨66kV19）による制約
山梨県 66kV 24,豊富線,66,2,372,212,熱容量,166,166,可,0,-,-,-,
山梨県 22kV 1,紅葉台特配線,22,1,10,10,熱容量,0,0,不可 ♯２,-,有り,-,-,
山梨県 22kV 2,富士ヶ嶺特配線,22,1,10,10,熱容量,0,0,不可 ♯２,-,有り,-,-,
山梨県 22kV 3,富士桜特配線,22,1,10,10,熱容量,0,0,不可 ♯２,-,有り,-,-,
