2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
千葉県 154kV 1,東葛線1・2L,154,2,514,290,熱容量,257,0,可,224,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 154kV 2,下葛線,154,2,176,176,熱容量,176,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 154kV 3,下総線,154,2,260,260,熱容量,260,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 154kV 4,北船橋線,154,2,492,492,熱容量,492,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 154kV 5,下総線,154,2,260,260,熱容量,260,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 154kV 6,北船橋線,154,2,234,234,熱容量,234,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 154kV 7,矢切線,154,2,1506,870,熱容量,753,0,可,636,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 154kV 8,坪井線,154,2,986,565,熱容量,493,0,可,421,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 154kV 9,東千葉房総線,154,2,1052,577,熱容量,0,0,可,300,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む　上位系（変千葉154kV3）による制約
千葉県 154kV 10,生実線,154,2,493,493,熱容量,0,0,可,0,有り,対象,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む　上位系（変千葉154kV3）による制約
千葉県 154kV 11,東千葉外房線,154,2,986,565,熱容量,0,0,可,0,有り,対象,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む　上位系（送千葉154kV9）による制約
千葉県 154kV 12,市原五井線,154,2,294,195,熱容量,147,0,可,99,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む　上位系（変千葉154kV3）による制約
千葉県 154kV 13,送電線,154,2,-,-,-,52,0,-,-,有り,-,送47，変11，変千葉154kV8,抑制が必要となる設備には送46含む　上位系（変千葉154kV8）による制約
千葉県 154kV 14,東葛線3・4L,154,2,514,290,熱容量,257,0,可,224,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 154kV 15,木下線,154,2,986,565,熱容量,492,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 1,山西線,66,2,294,167,熱容量,80,0,可,127,有り,-,送52,上位系（送52）による制約
千葉県 66kV 2,出口線,66,2,196,107,熱容量,86,0,可,89,有り,-,送52，送50，送45,上位系（送45）による制約
千葉県 66kV 3,水海道線,66,2,444,254,熱容量,218,0,可,190,有り,-,送52，送50，送45,上位系（送45）による制約
千葉県 66kV 4,水海道線,66,2,184,104,熱容量,88,0,可,80,有り,-,送52，送50，送45,上位系（送45）による制約
千葉県 66kV 5,送電線,66,2,-,-,-,47,0,-,-,有り,-,送52，送50，送45,上位系（送45）による制約
千葉県 66kV 6,水海道線,66,2,184,104,熱容量,90,0,可,80,有り,-,送52，送50，送45,上位系（送45）による制約
千葉県 66kV 7,流山線,66,2,294,167,熱容量,147,147,可,127,-,-,-,抑制が必要となる設備には送46含む
千葉県 66kV 8,我孫子線,66,2,147,147,熱容量,147,147,可,0,-,-,-,抑制が必要となる設備には送46含む
千葉県 66kV 9,田中線,66,2,131,131,熱容量,131,131,可,0,-,-,-,抑制が必要となる設備には送46含む
千葉県 66kV 10,増尾線,66,2,372,212,熱容量,181,0,可,160,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 11,東葛高柳線1，2L,66,2,444,254,熱容量,222,222,可,190,-,-,-,抑制が必要となる設備には送46含む
千葉県 66kV 13,東葛高柳線1，2L,66,2,444,254,熱容量,222,222,可,190,-,-,-,抑制が必要となる設備には送46含む
千葉県 66kV 14,湖南線12L,66,2,184,104,熱容量,0,0,可,0,有り,対象,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
千葉県 66kV 15,土合線,66,2,236,160,熱容量,31,0,可,53,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
千葉県 66kV 16,南波崎線,66,2,236,160,熱容量,88,0,可,76,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
千葉県 66kV 17,松岸線,66,2,380,217,熱容量,131,0,可,163,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
千葉県 66kV 18,松岸線,66,2,230,130,熱容量,56,0,可,88,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
千葉県 66kV 19,犬吠線,66,2,236,160,熱容量,101,0,可,76,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
千葉県 66kV 20,網戸線,66,2,102,57,熱容量,0,0,可,2,有り,-,送46，送39,抑制が必要となる設備には送47含む　上位系（送39）による制約
千葉県 66kV 21,銚子線,66,2,220,131,熱容量,0,0,可,72,有り,-,送46，送39，送千葉66kV14,抑制が必要となる設備には送47含む　上位系（送千葉66kV14）による制約
千葉県 66kV 22,佐原線,66,2,132,74,熱容量,0,0,可,0,有り,対象,送46，送39，送千葉66kV14,抑制が必要となる設備には送47含む　上位系（送千葉66kV14）による制約
千葉県 66kV 23,安食線,66,2,-,-,-,182,0,-,-,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 24,安食線,66,2,197,197,熱容量,197,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 25,安食線,66,2,444,254,熱容量,222,0,可,190,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 26,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送47，送36,抑制が必要となる設備には送46含む　上位系（送36）による制約
千葉県 66kV 27,七栄線3・4L,66,2,444,254,熱容量,205,0,可,190,有り,-,送47，送36,抑制が必要となる設備には送46含む　上位系（送36）による制約
千葉県 66kV 28,寺台線,66,2,444,254,熱容量,207,0,可,190,有り,-,送47，送36,抑制が必要となる設備には送46含む　上位系（送36）による制約
千葉県 66kV 29,七栄線3・4L,66,2,444,254,熱容量,191,0,可,190,有り,-,送47，送36,抑制が必要となる設備には送46含む　上位系（送36）による制約
千葉県 66kV 31,送電線,66,2,182,103,熱容量,66,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 32,印西線,66,2,372,212,熱容量,160,0,可,160,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 33,印西線,66,2,222,222,熱容量,199,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 34,印旛西線,66,2,222,222,熱容量,172,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 35,印西線,66,2,444,254,熱容量,177,0,可,190,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 36,印西線,66,2,444,254,熱容量,178,0,可,190,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 37,二和線,66,2,208,118,熱容量,104,0,可,90,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 38,高柳沼南線1，2L,66,2,444,254,熱容量,222,0,可,190,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 39,金ヶ作線,66,2,294,167,熱容量,147,0,可,127,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 40,網戸線,66,2,52,52,熱容量,52,0,可,0,有り,-,送47，送36,抑制が必要となる設備には送46含む　上位系（送36）による制約
千葉県 66kV 41,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送47，送36,抑制が必要となる設備には送46含む　上位系（送36）による制約
千葉県 66kV 42,松尾線,66,2,132,74,熱容量,4,0,可,58,有り,-,送47，送36,抑制が必要となる設備には送46含む　上位系（送36）による制約
千葉県 66kV 43,芝山線,66,2,444,254,熱容量,181,0,可,190,有り,-,送47，送36,抑制が必要となる設備には送46含む　上位系（送36）による制約
千葉県 66kV 44,八日市場線,66,2,444,254,熱容量,128,0,可,190,有り,-,送47，送36,抑制が必要となる設備には送46含む　上位系（送36）による制約
千葉県 66kV 45,八街線,66,2,294,167,熱容量,147,0,可,127,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む　上位系（送千葉66kV46）による制約
千葉県 66kV 46,八街線,66,2,132,74,熱容量,0,0,可,47,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む　上位系（送千葉154kV9）による制約
千葉県 66kV 47,八街線,66,2,294,167,熱容量,27,0,可,127,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む　上位系（送千葉154kV9）による制約
千葉県 66kV 48,佐倉線,66,2,444,254,熱容量,221,0,可,190,有り,-,送47，送36,抑制が必要となる設備には送46含む　上位系（送36）による制約
千葉県 66kV 49,角来線,66,2,184,103,熱容量,90,0,可,81,有り,-,送47，送36,抑制が必要となる設備には送46含む　上位系（送36）による制約
千葉県 66kV 50,佐倉線,66,2,184,104,熱容量,60,0,可,80,有り,-,送47，送36,抑制が必要となる設備には送46含む　上位系（送36）による制約
千葉県 66kV 51,千葉新線,66,2,197,197,熱容量,197,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 52,八街線,66,2,444,254,熱容量,102,0,可,190,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む　上位系（送千葉154kV9）による制約
千葉県 66kV 53,千葉大網線(東千葉外房線34L),66,2,444,254,熱容量,137,0,可,141,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む　上位系（送千葉154kV9）による制約
千葉県 66kV 54,千葉大網線(東千葉外房線34L),66,2,444,254,熱容量,158,0,可,36,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む　上位系（送千葉154kV9）による制約
千葉県 66kV 55,鎌取線,66,2,132,74,熱容量,47,0,可,58,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む　上位系（送千葉154kV9）による制約
千葉県 66kV 56,村田川線,66,2,184,104,熱容量,92,0,可,80,有り,-,送47，送36，送33,抑制が必要となる設備には送46含む　上位系（送千葉66kV72）による制約
千葉県 66kV 57,生浜線,66,2,186,186,熱容量,186,0,可,0,有り,-,送47，送36，送33,抑制が必要となる設備には送46含む　上位系（送33）による制約
千葉県 66kV 58,検見川線,66,2,294,167,熱容量,147,0,可,127,有り,-,送47，送143,抑制が必要となる設備には送46含む　上位系（送143）による制約
千葉県 66kV 59,吉橋線,66,2,66,66,熱容量,66,0,可,0,有り,-,送47，変12，変千葉154kV3,抑制が必要となる設備には送46含む　上位系（送千葉154kV9）による制約
千葉県 66kV 60,習志野線,66,2,91,91,熱容量,91,0,可,0,有り,-,送47，送143,抑制が必要となる設備には送46含む　上位系（送143）による制約
千葉県 66kV 61,船橋線,66,2,94,94,熱容量,94,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 62,藤崎線,66,2,168,94,熱容量,84,0,可,74,有り,-,送47，送143,抑制が必要となる設備には送46含む　上位系（送143）による制約
千葉県 66kV 63,船橋線,66,2,83,83,熱容量,83,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 64,京葉港線,66,2,208,118,熱容量,104,0,可,90,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
千葉県 66kV 65,市川千鳥線,66,2,118,118,熱容量,118,0,可,0,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
