2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
福島県（一部） 154kV 1,長瀬川線,154,2,-,-,-,98,0,-,-,有り,-,変3，送栃木154kV2，送福島（一部）154kV8,上位系（送福島（一部）154kV8）による制約
福島県（一部） 154kV 2,長瀬川線,154,2,350,175,熱容量,60,0,可,175,有り,-,変3，送栃木154kV2，送福島（一部）154kV8,上位系（送福島（一部）154kV8）による制約
福島県（一部） 154kV 3,長瀬川線,154,2,175,175,熱容量,38,0,可,0,有り,-,変3，送栃木154kV2，送福島（一部）154kV8,上位系（送福島（一部）154kV8）による制約
福島県（一部） 154kV 5,猪苗代旧幹線,154,2,226,126,熱容量,113,0,可,100,有り,-,変3,上位系（送福島（一部）154kV9）による制約
福島県（一部） 154kV 6,猪苗代旧幹線,154,2,226,126,熱容量,87,0,可,100,有り,-,変3,上位系（送福島（一部）154kV9）による制約
福島県（一部） 154kV 7,猪苗代旧幹線,154,2,226,126,熱容量,54,0,可,100,有り,-,変3,上位系（送福島（一部）154kV9）による制約
福島県（一部） 154kV 8,猪苗代新幹線,154,2,328,183,熱容量,0,0,可,0,有り,対象,変3，送栃木154kV2,上位系（送栃木154kV2）による制約
福島県（一部） 154kV 9,猪苗代旧幹線,154,2,127,127,熱容量,0,0,可,0,有り,-,変3,上位系（送栃木154kV1）による制約
福島県（一部） 66kV 2,大熊線（１、２号）,66,2,260,130,熱容量,1,0,可,0,有り,-,変1,上位系（変1）による制約
福島県（一部） 66kV 4,夜の森線,66,2,258,145,熱容量,1,0,可,0,有り,-,変1,上位系（変1）による制約
福島県（一部） 66kV 5,岩井戸線,66,2,258,145,熱容量,0,0,可,0,有り,-,変1,上位系（変1）による制約
