2025年11月25日更新
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
神奈川県 154kV 1,東川崎,154,66,3,281,224,熱容量,224,0,可,57,有り,-,送52，送126，送129,上位系（送129）による制約
神奈川県 154kV 2,塩浜,154,66,2,282,171,熱容量,0,0,可,0,有り,-,-,上位系（送神奈川154kV1）による制約
神奈川県 154kV 3,南川崎,275,154,3,1280,1024,熱容量,1025,0,可,256,有り,-,変18，送105,上位系（送105）による制約
神奈川県 154kV 4,川崎,154,66,3,562,449,熱容量,450,0,可,113,有り,-,送144，送92,上位系（送神奈川154kV16）による制約
神奈川県 154kV 5,旭,154,66,3,565,451,熱容量,451,0,可,114,有り,-,変18,上位系（送100）による制約
神奈川県 154kV 6,綱島,154,66,3,284,227,熱容量,227,0,可,57,有り,-,送144，送92,上位系（送神奈川154kV16）による制約
神奈川県 154kV 7,南武,154,66,4,692,606,熱容量,171,0,可,86,有り,-,送144，送92,上位系（送92）による制約
神奈川県 154kV 8,港北,275,154,5,1841,1673,熱容量,342,0,可,168,有り,-,送144，送92,上位系（送92）による制約
神奈川県 154kV 9,西東京,275,154,4,1257,800,熱容量,64,64,可,457,-,-,-,
神奈川県 154kV 10,橋本,154,66,4,741,624,熱容量,228,0,可,117,有り,-,送144，送92,上位系（送92）による制約
神奈川県 154kV 11,横浜大黒,154,66,3,397,321,熱容量,322,0,可,76,有り,-,送144，送92，送93,上位系（送93）による制約
神奈川県 154kV 12,関内,154,66,3,421,337,熱容量,337,0,可,84,有り,-,変18,上位系（送神奈川154kV32）による制約
神奈川県 154kV 13,横浜根岸,154,66,2,380,228,熱容量,228,0,可,152,有り,-,変18,上位系（送神奈川154kV26）による制約
神奈川県 154kV 14,南横浜,154,66,3,467,339,熱容量,340,0,可,128,有り,-,変18,上位系（送神奈川154kV32）による制約
神奈川県 154kV 15,横浜,154,66,3,565,453,熱容量,453,0,可,112,有り,-,変18,上位系（送神奈川154kV10）による制約
