2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
神奈川県 154kV 1,塩浜線,154,2,314,314,熱容量,0,0,可,0,有り,-,-,上位系（送神奈川154kV3）による制約
神奈川県 154kV 2,東扇島線,154,2,190,173,熱容量,139,0,可,17,有り,-,送52，送126，送129,上位系（送129）による制約
神奈川県 154kV 3,送電線,154,2,336,292,熱容量,0,0,可,0,有り,-,-,
神奈川県 154kV 4,浜川崎線,154,2,-,-,-,0,0,-,-,有り,-,-,◇　上位系（送神奈川154kV1）による制約
神奈川県 154kV 5,白石線1・2L,154,2,986,565,熱容量,493,0,可,421,有り,-,変18，送105,上位系（送105）による制約
神奈川県 154kV 6,南川崎南太田線,154,3,693,566,熱容量,231,0,可,127,有り,-,変18，送105,上位系（送105）による制約
神奈川県 154kV 7,白石線3・4L,154,2,986,565,熱容量,144,0,可,421,有り,-,送144，送92,上位系（送神奈川154kV16）による制約
神奈川県 154kV 8,島崎線1・2・3・4L,154,4,1028,870,熱容量,181,0,可,158,有り,-,送144，送92,上位系（送神奈川154kV16）による制約
神奈川県 154kV 9,南武線,154,2,372,254,熱容量,0,0,可,118,有り,-,送144，送92,上位系（送92）による制約
神奈川県 154kV 10,送電線,154,2,372,372,熱容量,0,0,可,0,有り,-,変18,上位系（送100）による制約
神奈川県 154kV 11,送電線,154,2,410,410,熱容量,0,0,可,0,有り,-,変18,上位系（送100）による制約
神奈川県 154kV 12,浜岡線,154,2,514,514,熱容量,71,0,可,169,有り,-,変18,上位系（送100）による制約
神奈川県 154kV 13,北旭線,154,2,514,514,熱容量,88,0,可,169,有り,-,変18,上位系（送100）による制約
神奈川県 154kV 14,送電線,154,2,-,-,-,35,0,-,-,有り,-,送144，送92,◇　上位系（送神奈川154kV16）による制約
神奈川県 154kV 15,送電線,154,2,-,-,-,0,0,-,-,有り,-,送144，送92,◇　上位系（送92）による制約
神奈川県 154kV 16,大倉山線,154,2,828,620,熱容量,0,0,可,0,有り,-,送144，送92,上位系（送92）による制約
神奈川県 154kV 17,北島線,154,2,828,620,熱容量,102,0,可,270,有り,-,送144，送92,上位系（送92）による制約
神奈川県 154kV 18,戸越線,154,3,453,453,熱容量,0,0,可,0,有り,-,送144，送92,上位系（送92）による制約
神奈川県 154kV 19,野川線1・2・3・4L,154,4,1028,870,熱容量,160,0,可,158,有り,-,送144，送92,上位系（送92）による制約
神奈川県 154kV 20,川世線,154,2,372,209,熱容量,186,0,可,163,有り,-,送144，送92,上位系（送92）による制約
神奈川県 154kV 21,北浜線,154,2,514,514,熱容量,88,0,可,184,有り,-,変18,上位系（送100）による制約
神奈川県 154kV 22,橋本線,154,4,493,493,熱容量,457,0,可,0,有り,-,送144，送92,上位系（送92）による制約
神奈川県 154kV 23,南多摩線,154,2,514,290,熱容量,12,12,可,0,-,-,-,
神奈川県 154kV 24,都留線,154,2,672,383,熱容量,0,0,可,0,有り,-,-,上位系（送神奈川154kV48）による制約
神奈川県 154kV 25,南関内線1・2・3L,154,3,558,558,熱容量,151,0,可,0,有り,-,変18,上位系（送神奈川154kV32）による制約
神奈川県 154kV 26,横浜根岸線1・2・3L,154,3,390,390,熱容量,0,0,可,0,有り,-,変18,上位系（送神奈川154kV33）による制約
神奈川県 154kV 27,送電線,154,2,600,600,熱容量,0,0,可,0,有り,-,変18,上位系（送神奈川154kV28）による制約
神奈川県 154kV 28,戸塚線,154,2,514,514,熱容量,0,0,可,103,有り,-,変18,上位系（送100）による制約
神奈川県 154kV 29,送電線,154,2,600,600,熱容量,0,0,可,0,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 154kV 30,送電線,154,2,514,514,熱容量,0,0,可,78,有り,-,変18,上位系（送100）による制約
神奈川県 154kV 31,南子安線,154,1,216,216,熱容量,0,0,不可 ♯２,-,有り,-,変18,上位系（送神奈川154kV10）による制約
神奈川県 154kV 32,南関内線5・6・7L,154,3,636,636,熱容量,0,0,可,0,有り,-,変18,上位系（送神奈川154kV33）による制約
神奈川県 154kV 33,南関内線5・6・7L,154,3,636,636,熱容量,0,0,可,0,有り,-,変18,上位系（送神奈川154kV10）による制約
神奈川県 154kV 34,北関内線1・2・3L,154,3,636,636,熱容量,103,0,可,0,有り,-,変18,上位系（送神奈川154kV10）による制約
神奈川県 154kV 35,子浜線1・2・3L,154,3,475,475,熱容量,40,0,可,0,有り,-,変18,上位系（送神奈川154kV10）による制約
神奈川県 154kV 36,送電線,154,2,382,382,熱容量,235,0,可,0,有り,-,変18,上位系（送神奈川154kV30）による制約
神奈川県 154kV 37,藤沢線,154,2,1506,870,熱容量,753,666,可,636,-,-,-,
神奈川県 154kV 38,西厚木線,154,2,1506,870,熱容量,753,753,可,636,-,-,-,
神奈川県 154kV 39,東秦野線,154,2,3110,1740,熱容量,1550,1550,可,0,-,-,-,
神奈川県 154kV 40,湘南線,154,2,1654,945,熱容量,666,666,可,0,-,-,-,
神奈川県 154kV 41,東秦野線,154,2,1654,945,熱容量,827,827,可,0,-,-,-,
神奈川県 154kV 42,田代幹線里線,154,2,493,493,熱容量,237,237,可,0,-,-,-,
神奈川県 154kV 43,田代幹線里線,154,2,291,291,熱容量,237,237,可,0,-,-,-,
神奈川県 154kV 44,西相模線,154,2,257,257,熱容量,257,237,可,0,-,-,-,
神奈川県 154kV 45,明神線,154,2,514,290,熱容量,238,238,可,224,-,-,-,
神奈川県 154kV 46,送電線,154,2,-,-,-,168,0,-,-,有り,-,変18,◇　上位系（送100）による制約
神奈川県 154kV 47,柿生線,154,2,410,231,熱容量,205,64,可,179,-,-,-,
神奈川県 154kV 48,橋本西線,154,2,618,383,熱容量,0,0,可,235,有り,-,-,
神奈川県 66kV 1,浮島陸線,66,2,115,115,熱容量,89,0,可,0,有り,-,送52，送126，送129,上位系（送129）による制約
神奈川県 66kV 2,千鳥町線,66,2,84,84,熱容量,82,0,可,0,有り,-,送52，送126，送129,上位系（送129）による制約
神奈川県 66kV 3,塩浜東線,66,2,84,84,熱容量,81,0,可,0,有り,-,送52，送126，送129,上位系（送129）による制約
神奈川県 66kV 4,塩浜南線,66,2,168,94,熱容量,0,0,可,0,有り,-,-,上位系（変神奈川66kV2）による制約
神奈川県 66kV 5,中島線,66,2,226,128,熱容量,113,0,可,98,有り,-,送144，送92,上位系（送神奈川154kV16）による制約
神奈川県 66kV 6,南崎線,66,2,168,94,熱容量,84,0,可,74,有り,-,送144，送92,上位系（送神奈川154kV16）による制約
神奈川県 66kV 7,市場線,66,2,168,94,熱容量,84,0,可,74,有り,-,変18,上位系（送神奈川66kV8）による制約
神奈川県 66kV 8,小倉線,66,2,370,212,熱容量,0,0,可,100,有り,-,変18,上位系（送100）による制約
神奈川県 66kV 10,北の台線,66,2,84,84,熱容量,84,0,可,0,有り,-,変18,上位系（送100）による制約
神奈川県 66kV 11,子安線,66,2,168,94,熱容量,81,0,可,74,有り,-,変18,上位系（送100）による制約
神奈川県 66kV 12,相武線,66,2,84,84,熱容量,84,0,可,0,有り,-,送144，送92,上位系（送神奈川154kV16）による制約
神奈川県 66kV 13,旭綱島線,66,2,184,104,熱容量,92,0,可,80,有り,-,送144，送92,上位系（送神奈川154kV16）による制約
神奈川県 66kV 14,保土ケ谷線,66,2,84,84,熱容量,84,0,可,0,有り,-,送144，送92,上位系（送神奈川154kV16）による制約
