2025年11月25日更新
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
基幹 275kV 1,新福島,500,275,4,2850,2280,熱容量,0,0,可,0,有り,対象,送52,上位系（送52）による制約
基幹 275kV 1,新福島,500,66,1,-,-,-,0,0,-,-,有り,対象,-,◇
基幹 275kV 2,新茂木,500,275,4,5646,4620,熱容量,0,0,可,0,有り,対象,-,
基幹 275kV 3,新栃木,500,275,1,950,950,熱容量,0,0,不可 ♯２,-,有り,対象,-,
基幹 275kV 3,新栃木,500,154,4,2850,2565,熱容量,0,0,可,0,有り,対象,-,運用容量は275/154kVバンクとの合算
基幹 275kV 3,新栃木,275,154,2,712,2305,熱容量,0,0,可,0,有り,対象,-,運用容量は500/154kVバンクとの合算
基幹 275kV 4,新筑波,500,154,4,2850,2538,熱容量,0,0,可,0,有り,対象,送52,上位系（送52）による制約
基幹 275kV 5,新古河,500,275,4,5700,5130,熱容量,5130,0,可,570,有り,-,送52,上位系（送52）による制約
基幹 275kV 6,東群馬,500,275,1,950,950,熱容量,0,0,不可 ♯２,-,有り,対象,-,
基幹 275kV 7,新新田,500,275,2,1900,1140,熱容量,800,800,可,760,-,-,-,
基幹 275kV 8,新岡部,500,275,2,2850,1710,熱容量,1000,1000,可,1140,-,-,-,
基幹 275kV 8,新岡部,500,154,3,2138,1682,熱容量,0,0,可,0,有り,対象,-,
基幹 275kV 9,新榛名,500,275,3,1910,1528,熱容量,0,0,可,160,有り,対象,-,
基幹 275kV 10,新信濃,500,275,3,-,-,-,0,0,-,-,有り,対象,送75,◇　上位系（送75）による制約
基幹 275kV 11,新木更津,500,275,2,2850,1710,熱容量,0,0,可,0,有り,対象,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 12,房総,500,275,4,4275,3420,熱容量,0,0,可,0,有り,対象,送47,（1Bのみ別系統であり運用容量は950MW）　上位系（送47）による制約
基幹 275kV 13,新佐原,500,275,3,3246,2262,熱容量,0,0,可,190,有り,-,送46,抑制が必要となる設備には送47含む　上位系（送46）による制約
基幹 275kV 14,新京葉,500,275,3,4275,3420,熱容量,2400,0,可,855,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 15,新野田,500,275,4,5700,3420,熱容量,5130,0,可,1400,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 16,東山梨,500,154,3,2137,1707,熱容量,1023,1023,可,427,-,-,-,
基幹 275kV 17,新富士,275,154,5,1533,1415,熱容量,0,0,可,98,有り,対象,-,
基幹 275kV 17,新富士,500,154,2,1396,855,熱容量,490,490,可,541,-,-,-,
基幹 275kV 17,新富士,500,275,2,2850,1710,熱容量,220,220,可,1140,-,-,-,
基幹 275kV 18,新秦野,500,275,2,1853,1710,熱容量,0,0,可,0,有り,対象,-,
基幹 275kV 18,新秦野,500,154,3,2131,1710,熱容量,1710,1710,可,421,-,-,-,
基幹 275kV 19,新多摩,500,275,4,3800,3420,熱容量,1100,1100,可,380,-,-,-,
基幹 275kV 20,新坂戸,500,275,3,4275,3420,熱容量,3420,3420,可,855,-,-,-,
基幹 275kV 21,新所沢,500,275,5,5225,4560,熱容量,4560,4560,可,665,-,-,-,
基幹 275kV 22,新飯能,500,275,2,2850,1710,熱容量,1710,1710,可,1140,-,-,-,
基幹 275kV 23,新豊洲,500,275,2,2850,1710,熱容量,1100,0,可,1140,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 24,信濃川,275,154,2,380,228,熱容量,80,0,可,70,有り,-,送55,上位系（送55）による制約
