2025年11月25日更新
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
埼玉県 154kV 1,新岡部,500,154,3,2138,1682,熱容量,0,0,可,0,有り,対象,変8,上位系（変8）による制約
埼玉県 154kV 2,埼玉,154,66,4,670,538,熱容量,426,0,可,132,有り,-,変8，変埼玉154kV1,上位系（変埼玉154kV1）による制約
埼玉県 154kV 3,北東京,275,154,6,2565,2413,熱容量,2409,0,可,152,有り,-,送52,上位系（送52）による制約
埼玉県 154kV 4,岩槻,154,66,4,665,554,熱容量,554,0,可,111,有り,-,送52,上位系（送52）による制約
埼玉県 154kV 5,南川越,275,154,5,1397,1138,熱容量,1138,1138,可,259,-,-,-,
埼玉県 154kV 6,中東京,275,154,4,950,752,熱容量,288,288,可,198,-,-,-,
埼玉県 154kV 7,奥秩父,154,66,4,188,147,熱容量,89,0,可,41,有り,-,送埼玉154kV18,上位系（送埼玉154kV18）による制約
埼玉県 154kV 8,北葛飾,275,154,3,1283,1018,熱容量,1018,0,可,265,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
埼玉県 154kV 9,東八潮,154,66,3,570,435,熱容量,436,0,可,135,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
埼玉県 154kV 10,京北,275,154,3,855,681,熱容量,682,0,可,174,有り,-,送52,上位系（送52）による制約
埼玉県 154kV 11,鳩ヶ谷,154,66,4,713,609,熱容量,608,0,可,104,有り,-,送52,上位系（送52）による制約
埼玉県 154kV 12,笹目,154,66,3,523,397,熱容量,398,0,可,126,有り,-,送52,上位系（送52）による制約
埼玉県 154kV 13,新座,275,154,4,1710,1504,熱容量,1506,1506,可,206,-,-,-,
埼玉県 154kV 14,豊岡,275,154,2,855,512,熱容量,512,512,可,343,-,-,-,
埼玉県 154kV 15,花畑,154,66,4,722,638,熱容量,577,0,可,84,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
埼玉県 154kV 16,武蔵野,154,66,4,756,679,熱容量,684,684,可,77,-,-,-,
埼玉県 66kV 1,新坂戸,275,66,3,855,642,熱容量,300,300,可,213,-,-,-,
埼玉県 66kV 2,北熊谷,275,66,3,855,669,熱容量,388,388,可,186,-,-,-,
埼玉県 66kV 3,埼玉,154,66,4,670,538,熱容量,448,0,可,132,有り,-,変8，変埼玉154kV1,上位系（変埼玉154kV1）による制約
埼玉県 66kV 4,奥秩父,154,66,4,188,147,熱容量,93,0,可,41,有り,-,送埼玉154kV18,上位系（送埼玉154kV18）による制約
埼玉県 66kV 5,上尾,275,66,4,1140,1015,熱容量,342,342,可,125,-,-,-,
埼玉県 66kV 6,中東京,275,66,3,713,434,熱容量,297,297,可,279,-,-,-,
埼玉県 66kV 7,岩槻,154,66,4,665,554,熱容量,554,0,可,111,有り,-,送52,上位系（送52）による制約
埼玉県 66kV 8,西越谷,275,66,3,855,678,熱容量,678,0,可,177,有り,-,送52,上位系（送52）による制約
埼玉県 66kV 9,南狭山,275,66,4,855,789,熱容量,228,228,可,66,-,-,-,
埼玉県 66kV 10,東八潮,154,66,3,570,435,熱容量,436,0,可,135,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
埼玉県 66kV 11,京北,275,66,3,570,453,熱容量,190,0,可,117,有り,-,送52,上位系（送52）による制約
埼玉県 66kV 11,京北,154,66,2,380,228,熱容量,228,0,可,152,有り,-,送52,上位系（送52）による制約
埼玉県 66kV 12,鳩ヶ谷,154,66,4,713,609,熱容量,608,0,可,104,有り,-,送52,上位系（送52）による制約
埼玉県 66kV 13,笹目,154,66,3,523,397,熱容量,398,0,可,126,有り,-,送52,上位系（送52）による制約
埼玉県 66kV 14,北与野,275,66,2,570,342,熱容量,342,342,可,228,-,-,-,
埼玉県 66kV 15,北東京,275,66,1,300,285,熱容量,285,0,可,15,有り,-,送52,上位系（送52）による制約
埼玉県 22kV 1,上吉羽,154,22,1,19,19,熱容量,0,0,不可 ♯２,-,有り,-,送52,上位系（送52）による制約
埼玉県 22kV 2,腰越,66,22,2,38,19,熱容量,18,0,不可 ♯２,-,有り,-,送埼玉154kV18,上位系（送埼玉154kV18）による制約
