2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
静岡県（富士川以東） 154kV 1,天竜南線,154,2,414,207,熱容量,0,0,可,207,有り,-,-,
静岡県（富士川以東） 154kV 2,田代幹線里線,154,2,514,290,熱容量,257,210,可,224,-,-,-,
静岡県（富士川以東） 154kV 3,明神線,154,2,514,290,熱容量,257,210,可,224,-,-,-,
静岡県（富士川以東） 154kV 4,北駿線,154,2,1974,1131,熱容量,200,200,可,843,-,-,-,
静岡県（富士川以東） 154kV 5,東富士線1・2L,154,2,514,290,熱容量,30,0,可,224,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 154kV 6,田代幹線中線,154,2,1974,1131,熱容量,30,0,可,843,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 154kV 7,愛鷹線,154,2,986,565,熱容量,493,0,可,421,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 154kV 8,田方線,154,2,1974,1131,熱容量,200,0,可,170,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 154kV 9,田代幹線山線,154,2,294,165,熱容量,0,0,可,111,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 154kV 10,富士川線,154,2,1654,945,熱容量,645,0,可,709,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 154kV 11,岳南線,154,2,339,298,熱容量,200,0,可,41,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 154kV 12,東富士線3・4L,154,2,514,290,熱容量,30,0,可,224,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 1,原里線,66,2,92,92,熱容量,65,65,可,0,-,-,-,
静岡県（富士川以東） 66kV 2,小山菅沼線,66,2,184,104,熱容量,92,65,可,80,-,-,-,
静岡県（富士川以東） 66kV 3,南御殿場線,66,2,102,57,熱容量,51,51,可,45,-,-,-,
静岡県（富士川以東） 66kV 4,深良線,66,2,184,104,熱容量,85,85,可,80,-,-,-,
静岡県（富士川以東） 66kV 5,富士岡線,66,2,184,104,熱容量,36,36,可,38,-,-,-,
静岡県（富士川以東） 66kV 6,須山線,66,2,102,57,熱容量,34,34,可,0,-,-,-,
静岡県（富士川以東） 66kV 7,岩波線,66,2,372,212,熱容量,154,85,可,160,-,-,-,
静岡県（富士川以東） 66kV 8,箱根線,66,2,444,254,熱容量,209,0,可,190,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 9,工団長窪線,66,2,132,74,熱容量,66,0,可,58,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 10,桑原線,66,2,444,254,熱容量,215,0,可,190,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 11,真鶴線,66,2,132,74,熱容量,46,0,可,58,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 12,熱海線,66,2,122,68,熱容量,61,0,可,54,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 13,三島線,66,2,132,74,熱容量,66,0,可,58,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 14,沼津線（1，2L）,66,2,294,167,熱容量,147,0,可,127,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 15,送電線,66,2,102,57,熱容量,48,0,可,45,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 16,広小路線,66,2,184,104,熱容量,92,0,可,80,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 17,送電線,66,2,-,-,-,29,0,-,-,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 18,根方線(駿東側),66,2,444,254,熱容量,222,0,可,190,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 19,間門線,66,2,186,186,熱容量,186,0,可,0,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 20,北伊豆線,66,2,444,254,熱容量,209,0,可,190,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 21,大仁線,66,2,184,104,熱容量,72,0,可,80,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 22,網代線,66,2,102,57,熱容量,50,0,可,45,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 23,宇佐美線,66,2,102,57,熱容量,50,0,可,45,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 24,東伊豆線,66,2,115,115,熱容量,19,0,可,0,有り,-,変17，送静岡（富士川以東）66kV28,上位系（送静岡（富士川以東）66kV28）による制約
静岡県（富士川以東） 66kV 25,八幡野線,66,2,102,57,熱容量,51,0,可,45,有り,-,変17，送静岡（富士川以東）66kV28,上位系（送静岡（富士川以東）66kV28）による制約
静岡県（富士川以東） 66kV 26,下田線,66,2,190,127,熱容量,68,0,可,57,有り,-,変17，送静岡（富士川以東）66kV28,上位系（送静岡（富士川以東）66kV28）による制約
静岡県（富士川以東） 66kV 27,稲取線,66,2,102,57,熱容量,51,0,可,45,有り,-,変17，送静岡（富士川以東）66kV28,上位系（送静岡（富士川以東）66kV28）による制約
静岡県（富士川以東） 66kV 28,松崎線（北側）,66,2,372,212,熱容量,0,0,可,0,有り,対象,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 29,松崎線（南側）,66,2,372,212,熱容量,121,0,可,160,有り,-,変17，送静岡（富士川以東）66kV28,上位系（送静岡（富士川以東）66kV28）による制約
静岡県（富士川以東） 66kV 30,南伊豆線,66,2,51,51,熱容量,51,0,可,0,有り,-,変17，送静岡（富士川以東）66kV28,上位系（送静岡（富士川以東）66kV28）による制約
静岡県（富士川以東） 66kV 31,下賀茂線,66,2,106,69,熱容量,50,0,可,37,有り,-,変17，送静岡（富士川以東）66kV28,上位系（送静岡（富士川以東）66kV28）による制約
静岡県（富士川以東） 66kV 32,伊東線,66,2,92,92,熱容量,61,0,可,0,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 33,根方線(駿河側),66,2,444,254,熱容量,201,0,可,190,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 34,須津線,66,2,132,74,熱容量,46,0,可,58,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 35,送電線,66,2,190,127,熱容量,95,0,可,63,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 36,原線,66,2,184,104,熱容量,92,0,可,80,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 37,送電線,66,2,-,-,-,51,0,-,-,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 38,吉原線,66,2,138,92,熱容量,69,0,可,46,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 39,中里線,66,2,132,89,熱容量,23,0,可,43,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 40,中里山本線,66,2,51,51,熱容量,45,0,可,0,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 41,内野線,66,2,372,203,熱容量,142,0,可,44,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 42,大渕線,66,2,60,60,熱容量,37,0,可,0,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 43,山宮線,66,2,132,74,熱容量,66,0,可,58,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 44,鈴川線(岳南側)（1，2L）,66,2,190,127,熱容量,95,0,可,63,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 45,駿富線,66,2,302,172,熱容量,96,0,可,130,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 46,宮島線,66,2,130,77,熱容量,65,0,可,53,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 47,入山瀬線,66,2,262,142,熱容量,131,0,可,120,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 48,榑坪線,66,2,102,57,熱容量,51,0,可,45,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 49,沼津線（3，4L）,66,2,294,167,熱容量,142,0,可,127,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 50,鈴川線(駿河側)（3，4L）,66,2,69,69,熱容量,69,0,可,0,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 51,鈴川線(岳南側)（3，4L）,66,2,190,127,熱容量,23,0,可,63,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 52,長泉線,66,2,184,104,熱容量,87,0,可,80,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 53,送電線,66,2,-,-,-,32,0,-,-,有り,-,変17，送静岡（富士川以東）66kV28,上位系（送静岡（富士川以東）66kV28）による制約
静岡県（富士川以東） 66kV 54,加増野南伊豆線,66,2,-,-,-,1,0,-,-,有り,-,変17，送静岡（富士川以東）66kV28,上位系（送静岡（富士川以東）66kV28）による制約
静岡県（富士川以東） 66kV 56,三福線,66,2,92,92,熱容量,79,0,可,0,有り,-,変17,上位系（変17）による制約
静岡県（富士川以東） 66kV 57,伊豆戸田線,66,2,46,46,熱容量,46,0,可,0,有り,-,変17，送静岡（富士川以東）66kV28,上位系（送静岡（富士川以東）66kV28）による制約
静岡県（富士川以東） 66kV 58,安良里線,66,2,51,51,熱容量,49,0,可,0,有り,-,変17，送静岡（富士川以東）66kV28,上位系（送静岡（富士川以東）66kV28）による制約
