2025年11月25日更新
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
東京都（多摩地区） 154kV 1,千歳,154,66,4,752,706,熱容量,493,493,可,46,-,-,-,
東京都（多摩地区） 154kV 2,昭島,154,66,3,372,225,熱容量,228,228,可,147,-,-,-,
東京都（多摩地区） 154kV 3,聖蹟桜ヶ丘,154,66,2,378,228,熱容量,228,228,可,150,-,-,-,
東京都（多摩地区） 154kV 4,西東京,275,154,4,1257,800,熱容量,67,64,可,470,-,-,-,
東京都（多摩地区） 66kV 1,戸田,154,66,3,564,456,熱容量,456,456,可,108,-,-,-,
東京都（多摩地区） 66kV 2,青梅,275,66,3,851,680,熱容量,680,680,可,171,-,-,-,
東京都（多摩地区） 66kV 3,江戸川,154,66,2,285,171,熱容量,171,0,可,114,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 4,花畑,154,66,4,691,627,熱容量,627,0,可,64,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 5,練馬,275,66,3,853,684,熱容量,684,684,可,169,-,-,-,
東京都（多摩地区） 66kV 6,武蔵野,154,66,4,756,679,熱容量,679,679,可,77,-,-,-,
東京都（多摩地区） 66kV 7,多摩,275,66,4,867,749,熱容量,749,0,可,118,有り,-,送117,上位系（送98）による制約
東京都（多摩地区） 66kV 8,昭島,154,66,3,372,225,熱容量,225,225,可,147,-,-,-,
東京都（多摩地区） 66kV 9,小松川,154,66,3,557,456,熱容量,456,0,可,101,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 10,和田堀,154,66,3,565,456,熱容量,456,257,可,109,-,-,-,
東京都（多摩地区） 66kV 11,南多摩,275,66,4,941,791,熱容量,791,400,可,150,-,-,-,
東京都（多摩地区） 66kV 12,江東,275,66,3,467,342,熱容量,342,0,可,125,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
東京都（多摩地区） 66kV 13,千歳,154,66,4,752,706,熱容量,684,493,可,46,-,-,-,
東京都（多摩地区） 66kV 14,北多摩,275,66,3,563,451,熱容量,451,400,可,112,-,-,-,
