2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
栃木県 154kV 1,猪苗代旧幹線,154,2,210,117,熱容量,0,0,可,8,有り,-,変3,上位系（変3）による制約
栃木県 154kV 2,猪苗代新幹線,154,2,328,183,熱容量,0,0,可,0,有り,対象,変3,上位系（変3）による制約
栃木県 154kV 3,東那須野線,154,2,328,183,熱容量,327,0,可,0,有り,-,変3，送栃木154kV2,上位系（送栃木154kV2）による制約
栃木県 154kV 4,栃那線,154,2,986,565,熱容量,0,0,可,0,有り,対象,変3,上位系（変栃木154kV2）による制約
栃木県 154kV 5,下滝線,154,1,147,147,熱容量,0,0,不可 ♯２,-,有り,対象,変3，送栃木154kV4,上位系（送栃木154kV4）による制約
栃木県 154kV 6,栃山線,154,2,1974,1131,熱容量,171,0,可,170,有り,-,変3,上位系（変栃木154kV2）による制約
栃木県 154kV 7,芳賀線,154,2,986,565,熱容量,207,0,可,421,有り,-,変3,上位系（変栃木154kV2）による制約
栃木県 154kV 8,白沢線1・2L,154,2,730,410,熱容量,0,0,可,0,有り,-,変3,上位系（変栃木154kV2）による制約
栃木県 154kV 9,西宇都宮線,154,2,1974,1131,熱容量,283,0,可,0,有り,-,変3,上位系（変栃木154kV2）による制約
栃木県 154kV 10,猪苗代新幹線,154,2,328,183,熱容量,164,0,可,145,有り,-,変3,　　上位系（送栃木154kV8）による制約
栃木県 154kV 11,猪苗代新幹線,154,2,328,183,熱容量,106,0,可,145,有り,-,送52，変4,上位系（送栃木154kV12）による制約
栃木県 154kV 12,小北線,154,2,1974,1131,熱容量,0,0,可,752,有り,-,送52，変4,上位系（変4）による制約
栃木県 154kV 13,八千代線,154,2,1974,1131,熱容量,400,0,可,155,有り,-,送52，変4,上位系（変4）による制約
栃木県 154kV 14,野木線,154,2,1974,1131,熱容量,428,0,可,710,有り,-,送52，変4,上位系（変4）による制約
栃木県 154kV 15,佐野線,154,2,1974,1131,熱容量,682,0,可,843,有り,-,送52，変4,上位系（変4）による制約
栃木県 154kV 16,茨城線,154,2,294,165,熱容量,110,0,可,0,有り,-,送52，変4,上位系（変4）による制約
栃木県 154kV 17,白沢線3・4L,154,2,365,365,熱容量,0,0,可,0,有り,-,変3,上位系（変栃木154kV2）による制約
栃木県 66kV 1,那須線,66,2,102,57,熱容量,0,0,可,0,有り,-,変3，送栃木154kV4,上位系（変栃木66kV1）による制約
栃木県 66kV 2,富池線,66,2,444,254,熱容量,0,0,可,0,有り,-,変3，送栃木154kV4,上位系（変栃木66kV1）による制約
栃木県 66kV 3,黒川線,66,2,102,57,熱容量,0,0,可,0,有り,-,変3，送栃木154kV4,上位系（送栃木66kV2）による制約
栃木県 66kV 4,馬頭線,66,2,102,57,熱容量,9,0,可,35,有り,-,変3，送栃木154kV4,上位系（送栃木66kV3）による制約
栃木県 66kV 5,西那須野線,66,2,372,212,熱容量,0,0,可,0,有り,-,変3，送栃木154kV4,上位系（変栃木66kV1）による制約
栃木県 66kV 6,関谷線,66,2,184,104,熱容量,0,0,可,0,有り,-,変3，送栃木154kV4,上位系（送栃木66kV5）による制約
栃木県 66kV 7,蛇尾川線,66,1,64,36,熱容量,0,0,不可 ♯２,-,有り,-,変3，送栃木154kV4,上位系（送栃木66kV6）による制約
栃木県 66kV 8,石上線,66,2,184,104,熱容量,32,0,可,73,有り,-,変3，送栃木154kV4,上位系（送栃木66kV5）による制約
栃木県 66kV 9,川治線,66,2,132,74,熱容量,47,0,可,58,有り,-,変3，送栃木154kV4,上位系（送栃木154kV4）による制約
栃木県 66kV 10,鬼怒川線,66,2,-,-,-,144,0,-,-,有り,-,変3，送栃木154kV4,上位系（送栃木154kV4）による制約
栃木県 66kV 11,大田原線,66,2,184,104,熱容量,0,0,可,0,有り,-,変3,上位系（送栃木66kV18）による制約
栃木県 66kV 12,西鬼怒線,66,1,-,-,-,50,0,-,-,有り,-,変3,上位系（送栃木66kV11）による制約
栃木県 66kV 13,岩沼線,66,2,184,104,熱容量,0,0,可,0,有り,-,変3,増強予定　上位系（送栃木66kV76）による制約
栃木県 66kV 15,南今市線,66,2,132,66,熱容量,0,0,可,0,有り,-,変3,増強予定　上位系（送栃木66kV13）による制約
栃木県 66kV 16,中禅寺線,66,2,132,74,熱容量,0,0,可,0,有り,-,変3,増強予定　上位系（送栃木66kV13）による制約
栃木県 66kV 17,栗山線,66,2,102,57,熱容量,0,0,可,0,有り,-,変3,増強予定　上位系（送栃木66kV13）による制約
栃木県 66kV 18,河内線,66,2,184,104,熱容量,0,0,可,0,有り,-,変3,上位系（変栃木66kV3）による制約
栃木県 66kV 19,上平線,66,2,102,57,熱容量,10,0,可,0,有り,-,変3,上位系（送栃木66kV18）による制約
栃木県 66kV 20,烏山線（河内側）,66,2,184,104,熱容量,0,0,可,0,有り,-,変3,上位系（変栃木66kV3）による制約
栃木県 66kV 21,喜連川線,66,2,184,104,熱容量,0,0,可,0,有り,-,変3,上位系（送栃木66kV20）による制約
