2025年11月25日更新
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
山梨県 154kV 1,東山梨変電所,500,154,3,2137,1707,熱容量,1130,1023,可,0,-,-,-,
山梨県 154kV 2,谷村変電所,154,66,3,376,226,熱容量,99,54,可,150,-,-,-,
山梨県 154kV 3,山梨変電所,154,66,4,490,381,熱容量,170,170,可,109,-,-,-,
山梨県 154kV 4,釜無白根変電所,154,66,3,283,227,熱容量,196,0,可,56,有り,-,-,上位系（送山梨154kV4）による制約
山梨県 154kV 5,北巨摩変電所,154,66,3,244,179,熱容量,6,0,可,65,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 154kV 6,新富士変電所,275,154,5,1533,1415,熱容量,0,0,可,98,有り,対象,-,
山梨県 154kV 7,駿河変電所,154,66,4,539,433,熱容量,95,0,可,106,有り,-,変17,上位系（変17）による制約
山梨県 66kV 1,谷村変電所,154,66,3,376,226,熱容量,99,54,可,150,-,-,-,
山梨県 66kV 2,山梨変電所,154,66,4,490,381,熱容量,170,170,可,109,-,-,-,
山梨県 66kV 3,釜無白根変電所,154,66,3,283,227,熱容量,196,0,可,56,有り,-,-,上位系（送山梨154kV4）による制約
山梨県 66kV 4,北巨摩変電所,154,66,3,244,179,熱容量,6,0,可,65,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 22kV 1,飯田町,66,22,2,38,19,熱容量,0,0,不可 ♯２,-,有り,-,-,
山梨県 22kV 2,河口湖,66,22,2,38,19,熱容量,0,0,不可 ♯２,-,有り,-,-,
山梨県 22kV 3,身延,66,22,1,-,-,-,0,0,-,-,有り,-,変17,上位系（送山梨66kV19）による制約
山梨県 22kV 4,紅葉台,22,-,1,-,-,-,0,0,-,-,有り,-,-,6kV供給変圧器のため対象外
山梨県 22kV 5,富士豊茂,22,-,1,-,-,-,0,0,-,-,有り,-,-,6kV供給変圧器のため対象外
山梨県 22kV 6,富士桜,22,-,1,-,-,-,0,0,-,-,有り,-,-,6kV供給変圧器のため対象外
山梨県 22kV 7,富士ヶ嶺,22,-,1,-,-,-,0,0,-,-,有り,-,-,6kV供給変圧器のため対象外
山梨県 配電用変電所 1,深城,66,6.6以下,1,9,9,熱容量,9,0,不可,-,有り,-,送山梨66kV8,上位系（送山梨66kV8）による制約
山梨県 配電用変電所 2,塩山,66,6.6以下,3,38,39,熱容量,0,0,不可,-,有り,-,送山梨66kV8,上位系（送山梨66kV8）による制約
山梨県 配電用変電所 3,笛吹,66,6.6以下,2,19,19,熱容量,0,0,不可,-,有り,-,送山梨66kV8,上位系（送山梨66kV8）による制約
山梨県 配電用変電所 4,御岳（発）,22,6.6以下,1,0,0,熱容量,0,0,不可,-,有り,-,-,
山梨県 配電用変電所 5,江草,66,6.6以下,2,5,5,熱容量,0,0,不可,-,-,-,-,
山梨県 配電用変電所 6,津金,66,6.6以下,1,9,9,熱容量,0,0,不可,-,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 配電用変電所 7,清里,66,6.6以下,2,19,19,熱容量,5,0,不可,-,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 配電用変電所 8,長坂,66,6.6以下,2,28,29,熱容量,0,0,不可,-,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 配電用変電所 9,小淵沢,66,6.6以下,2,28,29,熱容量,0,0,不可,-,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 配電用変電所 10,上野原,66,6.6以下,2,19,19,熱容量,9,0,不可,-,有り,-,-,
山梨県 配電用変電所 11,八ツ沢,66,6.6以下,3,33,34,熱容量,9,9,不可,-,-,-,-,
山梨県 配電用変電所 12,富浜,66,6.6以下,2,19,19,熱容量,5,5,不可,-,-,-,-,
山梨県 配電用変電所 13,駒橋,66,6.6以下,2,28,29,熱容量,9,9,不可,-,-,-,-,
山梨県 配電用変電所 14,田野倉,66,6.6以下,1,19,19,熱容量,15,15,不可,-,-,-,-,
山梨県 配電用変電所 15,初狩,66,6.6以下,2,19,19,熱容量,7,0,不可,-,有り,-,送山梨66kV8,上位系（送山梨66kV8）による制約
山梨県 配電用変電所 16,初鹿野,66,6.6以下,1,3,3,熱容量,3,0,不可,-,有り,-,送山梨66kV8,上位系（送山梨66kV8）による制約
山梨県 配電用変電所 17,柏尾,66,6.6以下,1,2,2,熱容量,0,0,不可,-,有り,-,送山梨66kV8,上位系（送山梨66kV8）による制約
山梨県 配電用変電所 18,日下部,66,6.6以下,3,47,49,熱容量,5,0,不可,-,有り,-,送山梨66kV8,上位系（送山梨66kV8）による制約
山梨県 配電用変電所 19,石和,66,6.6以下,3,38,39,熱容量,9,0,不可,-,有り,-,送山梨66kV8,上位系（送山梨66kV8）による制約
山梨県 配電用変電所 20,武田,66,6.6以下,3,28,29,熱容量,5,5,不可,-,-,-,-,
山梨県 配電用変電所 21,敷島,66,6.6以下,2,38,39,熱容量,3,3,不可,-,-,-,-,
山梨県 配電用変電所 22,韮崎,66,6.6以下,3,47,49,熱容量,1,1,不可,-,-,-,-,
山梨県 配電用変電所 23,北巨摩,66,6.6以下,3,47,49,熱容量,0,0,不可,-,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 配電用変電所 24,小武川第三,66,6.6以下,1,2,2,熱容量,2,0,不可,-,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 配電用変電所 25,白州,66,6.6以下,2,19,19,熱容量,0,0,不可,-,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 配電用変電所 26,八代,66,6.6以下,3,57,59,熱容量,12,12,不可,-,-,-,-,
山梨県 配電用変電所 27,玉諸,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,送山梨66kV8,上位系（送山梨66kV8）による制約
山梨県 配電用変電所 28,甲府,66,6.6以下,3,28,29,熱容量,9,9,不可,-,-,-,-,
山梨県 配電用変電所 29,桜町,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
山梨県 配電用変電所 30,飯田町,66,6.6以下,3,42,44,熱容量,14,14,不可,-,-,-,-,
山梨県 配電用変電所 31,山梨局配,66,6.6以下,3,28,29,熱容量,2,2,不可,-,-,-,-,
山梨県 配電用変電所 32,幸,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
山梨県 配電用変電所 33,国母,66,6.6以下,3,33,34,熱容量,9,9,不可,-,-,-,-,
山梨県 配電用変電所 34,徳行,154,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 配電用変電所 35,竜王,66,6.6以下,2,19,19,熱容量,8,8,不可,-,-,-,-,
山梨県 配電用変電所 36,白根町,154,6.6以下,3,47,49,熱容量,1,0,不可,-,有り,-,-,上位系（送山梨154kV5）による制約
山梨県 配電用変電所 37,芦安,66,6.6以下,1,1,1,熱容量,0,0,不可,-,有り,-,-,上位系（送山梨154kV4）による制約
山梨県 配電用変電所 38,大津,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
山梨県 配電用変電所 39,常永,66,6.6以下,3,42,44,熱容量,4,4,不可,-,-,-,-,
山梨県 配電用変電所 40,明穂,66,6.6以下,3,57,59,熱容量,6,0,不可,-,有り,-,-,上位系（送山梨154kV4）による制約
山梨県 配電用変電所 41,豊富,66,6.6以下,2,19,19,熱容量,2,2,不可,-,-,-,-,
山梨県 配電用変電所 42,甲西,66,6.6以下,2,38,39,熱容量,13,0,不可,-,有り,-,-,上位系（送山梨154kV4）による制約
山梨県 配電用変電所 43,平野,154,6.6以下,1,19,19,熱容量,19,0,不可,-,有り,-,-,上位系（送静岡（富士川以東）154kV1）による制約
山梨県 配電用変電所 44,谷村,66,6.6以下,3,28,29,熱容量,1,1,不可,-,-,-,-,
山梨県 配電用変電所 45,鹿留,66,6.6以下,2,19,19,熱容量,4,4,不可,-,-,-,-,
山梨県 配電用変電所 46,富士吉田,66,6.6以下,3,52,54,熱容量,13,13,不可,-,-,-,-,
山梨県 配電用変電所 47,河口湖,66,6.6以下,3,47,49,熱容量,9,9,不可,-,-,-,-,
山梨県 配電用変電所 48,紅葉台,22,6.6以下,1,9,9,熱容量,8,4,不可,-,-,-,-,
山梨県 配電用変電所 49,市川大門,66,6.6以下,3,28,29,熱容量,5,0,不可,-,有り,-,-,上位系（送山梨154kV4）による制約
山梨県 配電用変電所 50,増穂,66,6.6以下,3,38,39,熱容量,8,0,不可,-,有り,-,-,上位系（送山梨154kV4）による制約
山梨県 配電用変電所 51,早川第三,154,6.6以下,1,9,9,熱容量,8,0,不可,-,有り,-,変17,上位系（送山梨154kV12）による制約
山梨県 配電用変電所 52,山中,66,6.6以下,3,28,29,熱容量,9,9,不可,-,-,-,-,
山梨県 配電用変電所 53,鐘ヶ渕,66,6.6以下,1,1,1,熱容量,0,0,不可,-,-,-,-,
山梨県 配電用変電所 54,上吉田,66,6.6以下,2,19,19,熱容量,9,9,不可,-,-,-,-,
山梨県 配電用変電所 55,富士桜,22,6.6以下,1,5,5,熱容量,6,4,不可,-,-,-,-,
山梨県 配電用変電所 56,富士豊茂,22,6.6以下,1,5,5,熱容量,2,2,不可,-,-,-,-,
山梨県 配電用変電所 57,富士ヶ嶺,22,6.6以下,1,5,5,熱容量,3,3,不可,-,-,-,-,
山梨県 配電用変電所 58,飯富,66,6.6以下,3,38,39,熱容量,7,0,不可,-,有り,-,変17,上位系（送山梨66kV19）による制約
山梨県 配電用変電所 59,早川第一,66,6.6以下,1,5,5,熱容量,5,0,不可,-,有り,-,変17,上位系（送山梨66kV19）による制約
山梨県 配電用変電所 60,身延,66,6.6以下,2,28,29,熱容量,9,0,不可,-,有り,-,変17,上位系（送山梨66kV19）による制約
山梨県 配電用変電所 61,塩沢,66,6.6以下,2,19,19,熱容量,9,0,不可,-,有り,-,変17,上位系（送山梨66kV19）による制約
山梨県 配電用変電所 62,富沢,66,6.6以下,2,19,19,熱容量,9,0,不可,-,有り,-,変17,上位系（送山梨66kV19）による制約
